Week,DBJP,DFJ,DIM,DLS,DOL,DOO,DTH,DVYA,DWM,DXJ,ENZL,EPP,EWA,EWH,EWJ,EWS,EWT,EWV,EWY,EZJ,FAUS,FDT,FDTS,FHK,FJP,FKO,FPA,GWX,IDHQ,JPXN,PDN,PXF,SCJ,VPL
2014-42,0.02353756,0.00635547,0.02115744,0.01831354,0.01959344,0.01124498,0.01680904,0.02169811,0.0195122,0.02161606,0.01331269,0.01638066,0.01795793,0.01421542,0.00895804,0.01158129,0.00819672,-0.01685067,-0.00019008,0.01450477,0.02233956,0.01998163,0.0144,0.02171946,0.00977587,0.02334944,0.0165538,0.01301262,0.02474956,0.00067024,0.01124531,0.01974814,0.00962142,0.01428013
2014-41,-0.0010582,0.00697099,0.00715789,0.0119121,0.00345508,0.00596044,0.00808926,0.02084848,0.00304807,-0.00208823,0.0098444,0.02467149,0.04083826,0.00989011,0.00168634,-0.00623608,-0.00113422,-0.00318869,-0.00326609,0.004329,0.01217976,0.00420757,-0.00356218,-0.02124521,0.00389674,0.0,0.00496942,0.01534733,0.01620648,-0.0041256,0.00593975,-0.00172712,0.00991379,0.00920552
2014-40,-0.04722589,-0.04733602,-0.03562032,-0.04509957,-0.04007588,-0.04381644,-0.03942076,-0.02346528,-0.03653586,-0.0500122,-0.00881335,-0.02834646,-0.04002079,-0.01208791,-0.03922018,-0.01877729,-0.04053565,0.07743902,-0.03912072,-0.07616804,-0.02974735,-0.05675017,-0.04065798,-0.02464789,-0.04341801,-0.03761755,-0.03681666,-0.03950901,-0.02941176,-0.02537738,-0.05324728,-0.04371735,-0.05204536,-0.0359823
2014-39,-0.02577156,-0.02567819,-0.02166998,-0.01540832,-0.02171375,-0.02743205,-0.02630887,0.00023747,-0.02084257,-0.02477584,0.00126582,0.00478723,0.00896152,0.00621118,-0.02866667,-0.0134083,0.02549889,0.05635628,-0.03620721,-0.05676373,0.00081566,-0.02632715,-0.01513775,-0.00980392,-0.03315532,-0.0259542,-0.01647748,-0.02108434,-0.02209632,-0.02878916,-0.0229794,-0.02612443,-0.0229703,-0.01909624
2014-38,0.01347449,0.00724338,-0.01148754,-0.01446553,-0.01366743,-0.01614506,-0.01715749,-0.01041667,-0.01405709,0.00993377,-0.02429396,-0.01362468,-0.01981707,-0.00325027,0.00936455,0.00301854,-0.01797268,-0.01918117,-0.00859649,0.01890289,-0.02319182,-0.00848536,0.00298775,0.01045904,0.01001335,0.0,0.00179211,-0.01144756,-0.01114827,0.01146253,-0.00392003,-0.01262826,0.0093291,-0.00056043
2014-37,0.0169326,-0.00247934,-0.00865718,-0.00260951,0.00067904,-0.00222003,-0.00305033,-0.01565295,-0.0008617,0.01859005,-0.01730419,-0.01646296,-0.02200489,-0.00955921,0.00089186,-0.00298762,-0.00176554,-0.00209272,-0.00086237,0.00708427,-0.03642508,-0.0002107,-0.00266036,-0.00598291,0.00268276,0.00187547,0.00499109,-0.00655977,0.00330215,-0.00381194,0.0,0.00052329,-0.00296795,-0.00425611
2014-36,0.00622543,-0.0128519,-0.01083238,-0.01787017,-0.00762161,-0.01000732,-0.01201803,-0.0316129,-0.00809372,0.00703371,-0.02609727,-0.02546852,-0.03369209,-0.01448526,-0.00355793,-0.00252207,-0.02736914,0.00306551,-0.01037062,-0.00810612,-0.02561288,-0.00998752,-0.00871333,-0.01587302,-0.0167033,-0.00926612,-0.01912378,-0.01396848,-0.00979858,-0.00295608,-0.0107362,-0.00544888,-0.01598129,-0.01326549
2014-35,-0.00722971,-0.01308637,0.00093967,-0.00269881,0.00691656,0.00169082,0.00322981,0.00405723,0.00528765,-0.0041423,0.00654957,0.00644699,0.00184843,0.01880878,-0.00684176,0.00459674,0.00927835,0.01922129,-0.00485437,-0.01414068,0.0050743,0.00538748,-0.00345324,0.01927984,-0.00653026,-0.01631026,0.00868357,-0.00564573,0.00162426,-0.00629327,0.00114155,0.00464636,-0.01594621,-0.00252616
2014-34,-0.01322314,-0.00683554,-0.00393479,-0.00590551,-0.00200714,-0.00553151,-0.00074516,-0.00236001,-0.00063425,-0.0093435,0.01048218,-0.00428469,0.0060437,-0.0305033,-0.01341839,-0.00207297,0.01032702,0.02834075,0.00563754,-0.02665706,0.00932234,-0.00371211,0.00635838,-0.01319113,-0.01503923,0.00726744,-0.01186736,0.0,-0.00697051,-0.01006711,-0.00151515,-0.0015456,-0.00747986,-0.00701187
2014-33,0.00634815,-0.01016746,-0.00168887,-0.00107643,-0.00089888,-0.00337919,-0.00025031,0.00625404,-0.0014862,0.00644681,0.00902256,0.00455308,0.00327103,0.01399689,-0.00744797,0.0,0.0236415,0.01330451,-0.00906843,-0.01250447,0.01124003,0.00250365,0.0069646,0.01611991,-0.01279826,0.00477941,0.01036455,0.00390209,-0.00431034,-0.01314417,-0.00113982,-0.00129467,-0.01200229,-0.0026959
