Week,CEW,CNY,CROC,CYB,DBV,DRR,EUFX,EUO,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXY,INR,UDN,ULE,URR,UUP,YCL,YCS
2018-41,0.00392817,-0.00352858,-0.00018352,0.00281577,0.00377834,-0.02776304,0.00567376,0.01278228,-0.00141044,-0.00650725,-0.00926294,-0.00691797,-0.00622519,-0.00961945,-0.00505002,-0.00713283,0.00943891,-0.00658824,-0.01284522,0.0,0.008,-0.00305206,0.01397311
2018-40,0.0050905,0.00546318,-0.01232554,0.00040274,-0.00834725,0.01617251,-0.00704225,-0.01009251,0.00454804,0.00734191,-0.00646609,-0.01115189,0.00517758,0.00021231,0.0172581,0.00768958,0.00342015,0.00473709,0.01631854,-0.04822777,-0.00397456,0.02900425,-0.01457876
2018-39,-0.01228364,-0.00047148,0.05225157,-0.00399521,-0.00541667,0.03323431,0.00807217,0.01067464,-0.0257445,0.0056917,-0.01043978,-0.00281492,-0.00487013,-0.00862795,0.0,0.00274234,0.02012882,-0.00377181,-0.00833333,0.0,0.00399521,0.00333642,-0.00609369
2018-38,0.00505902,-0.00257551,0.01227465,0.0056,0.00982067,0.02492864,0.01347449,0.02642008,-0.00374376,-0.00605394,0.00224422,-0.0020979,-0.01182327,-0.01691594,-0.00861907,-0.00754806,-0.03170478,-0.01024686,-0.02545003,0.0,0.01092233,-0.01341066,0.01651281
2018-37,0.0085034,-0.00628199,-0.02553511,0.00758483,-0.00042753,-0.02954755,-0.00598086,-0.01002179,0.0150007,-0.00634349,0.00863099,0.00963309,0.00544983,0.00339262,0.01366094,-0.00666667,0.02667703,0.00280374,0.00688791,0.0,-0.00282372,0.0,0.01415344
2018-36,0.01437608,-0.00693161,-0.01653804,0.0,-0.00338839,-0.00569225,-0.00760456,-0.00429369,0.00693364,0.00261076,0.00938967,-0.00042481,0.00243024,0.00760417,-0.0011534,-0.00767353,0.0,0.0014111,0.01464968,0.01405975,-0.00200321,-0.0121372,0.01539491
2018-35,-0.00114811,0.01620099,-0.00523756,-0.00793651,-0.00632111,-0.00329429,0.00261593,0.00556984,-0.01023412,0.00521126,0.00040306,0.0,-0.00234255,0.00520508,0.00531709,0.00407973,-0.02825,0.0,-0.00319081,0.0,-0.00079904,0.0063638,-0.00373234
2018-34,-0.01621017,-0.01385681,0.03097604,-0.0129666,-0.01289517,-0.00018298,0.00574025,0.01485365,-0.02138158,0.00511673,-0.00726648,-0.01657151,-0.00661009,0.00993516,-0.00328376,-0.00034835,0.0,-0.00421546,-0.01626016,0.0,0.00362465,0.00175316,0.00147849
2018-33,-0.0005618,-0.00140318,0.0005848,0.00674068,-0.01070399,-0.02393285,-0.01550388,-0.02653749,-0.0006871,0.00467478,0.00132996,-0.00083834,0.01318541,0.00878772,0.00534707,-0.0093232,0.0,0.00806452,0.02527544,-0.00928613,-0.00716846,-0.01739879,0.01789862
2018-32,0.00968109,0.0,0.00134797,0.00560673,-0.00289137,0.00476359,-0.00421053,-0.00790021,0.00721521,-0.00024248,0.00602894,-0.00295317,0.00402783,-0.00201506,-0.00725409,0.00034698,-0.09358713,0.00333969,0.00655738,0.03173653,-0.00198255,0.00766951,0.00027119
2018-31,-0.02353585,0.00070208,0.02056149,-0.00199601,-0.00330579,0.06046336,0.0144962,0.02826552,-0.01227663,-0.01354042,-0.00954781,-0.00182482,-0.01335981,0.00127619,-0.02879729,0.00535756,0.0,-0.01084906,-0.02616465,0.0,0.01082598,0.00808436,-0.01324592
2018-30,-0.00543478,-0.10730785,-0.00816083,-0.00516283,0.01172529,0.00764212,0.0,0.0228471,-0.00068027,-0.01004315,0.00372192,-0.00013976,-0.01122895,-0.00580108,-0.01181066,-0.00150865,0.07923698,-0.00932401,-0.02176617,0.0,0.00973236,-0.00853807,0.00472207
2018-29,0.00712719,0.10027726,-0.00928487,0.00517104,0.00166667,0.01475317,0.00773507,0.00614305,0.00327779,0.0003933,0.00792372,0.0,-0.00312082,-0.00148274,0.00715227,0.00360927,0.0,-0.00046751,-0.00621504,0.00503637,0.00121359,0.00210268,-0.00630619
2018-28,-0.00218341,-0.0517316,-0.00259067,-0.0159471,0.00334448,0.00223589,0.0,-0.00132217,0.00108696,-0.00755393,0.00160923,-0.0126479,0.00133547,0.00446381,-0.00691589,0.00680591,0.02225,0.00093414,0.00185874,0.0,-0.00040502,-0.00910227,-0.01399894
