Week,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,SGOL,UBG,UGL,UGLD
2018-11,0.02263324,-0.06567446,0.04692429,-0.01555556,-0.04536862,0.02194282,-0.0423179,0.02294304,0.02182104,0.00830368,0.04334064,0.06773619
2018-10,-0.00870827,0.02426718,-0.01754386,0.00595238,0.01529637,-0.00748765,0.01789175,-0.00708661,-0.01210465,-0.00706714,-0.01659851,-0.02539405
2018-09,0.00218182,-0.00880743,0.00706991,-0.00148588,-0.00380952,0.00287586,-0.00651369,0.00315956,0.00352665,0.01920768,0.00509214,0.00882613
2018-08,-0.00864553,0.02477312,-0.01573292,0.00900225,0.01356589,-0.00838276,0.01769242,-0.00860047,-0.00365759,-0.0228739,-0.01707375,-0.02645051
2018-07,0.0,0.00414938,0.00620636,-0.0007446,0.00581395,-0.00079214,0.00226108,0.0,-0.00108713,0.0,-0.00308935,-0.0025729
2018-06,0.02133333,-0.06327307,0.04187867,-0.01563663,-0.04015296,0.02065885,-0.03660714,0.02129338,0.02056294,0.02790145,0.03746398,0.06375546
2018-05,-0.01605944,0.05067651,-0.03470633,0.01503759,0.03522505,-0.01531055,0.03372835,-0.01712062,-0.01592948,-0.01663748,-0.03159632,-0.05046257
2018-04,-0.00882002,0.02342971,-0.02001511,0.01358491,0.01577909,-0.00753828,0.01563698,-0.00621118,-0.00708401,-0.00638051,-0.02001862,-0.02327515
2018-03,0.00933238,-0.03337423,0.02021358,-0.00526316,-0.0234375,0.011212,-0.02153799,0.01249024,0.01091331,0.03855422,0.02236873,0.03195963
2018-02,-0.00549057,0.01611703,-0.00948767,-0.00375375,0.01380671,-0.00589762,0.01038802,-0.00622084,-0.00555213,0.0,-0.01167406,-0.01742739
2018-01,0.01308774,-0.03898265,0.02851562,-0.01341282,-0.03053435,0.01316734,-0.0268546,0.01339638,0.01353889,-0.00360144,0.02666987,0.04340278
2018-00,0.002185,-0.00284562,0.00313112,0.00074405,-0.00380228,0.00143827,-0.00296209,0.00157853,0.00141055,-0.00833333,0.00216398,0.00347524
2017-52,0.01418616,-0.04005282,0.02797203,-0.01448226,-0.02898551,0.01543894,-0.02935393,0.01542208,0.01553945,0.02134241,0.03092522,0.04014939
2017-51,0.01037712,-0.03270152,0.02089552,-0.00641026,-0.02439024,0.01010607,-0.02063255,0.01156069,0.00974292,0.00248062,0.01910995,0.03248031
2017-50,0.01184346,-0.0335384,0.02379903,-0.01045296,-0.02033898,0.00991441,-0.02313354,0.01005025,0.01038724,0.0,0.02216216,0.03726708
