Week,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2018-13,-0.00289948,0.01021242,0.01524058,0.00668024,0.00902879,0.01303403,0.01478149,0.03520833,0.01295133,0.00665996,-0.00848083,0.03473054,0.00652133,0.00556931
2018-12,0.00542611,0.0193575,0.01164546,0.02075783,0.00851789,0.00072098,0.02280551,0.01280198,0.02261008,0.02466454,-0.04066211,0.0474668,0.02006594,0.0194033
2018-11,-0.01952625,-0.02197802,-0.02345916,-0.01814318,-0.02288054,-0.02327273,-0.01271552,-0.00841198,-0.01814596,-0.0174551,0.03164787,-0.03447445,-0.01795064,-0.01760563
2018-10,-0.01074589,0.01801802,-0.00881242,0.02055873,-0.00688673,-0.02026555,0.01563518,0.00224352,0.01877747,0.02080143,-0.0466761,0.04489087,0.02077996,0.02058824
2018-09,-0.00126103,-0.0045045,0.01108742,-0.00842418,0.01324982,-0.01113431,0.00305744,0.00620091,-0.00759089,-0.01078954,0.02005013,-0.01093168,-0.00841687,-0.01085368
2018-08,-0.03294335,-0.0168447,-0.02967607,-0.02519698,-0.03063148,-0.03164983,-0.02627611,-0.03970173,-0.0382643,-0.02287086,0.05471014,-0.06276953,-0.02572528,-0.02512458
2018-07,0.01145866,0.01793909,0.00021,0.01772341,-0.00236072,0.01171606,0.01931943,0.01289398,0.02040816,0.01492537,-0.03949668,0.03966076,0.01703464,0.01790982
2018-06,0.0294397,0.03283582,0.02190091,0.02302715,0.02376951,-0.01143241,0.02581219,0.02656704,0.02257154,0.02703054,-0.04416296,0.03717659,0.02247839,0.02449936
2018-05,-0.00976686,-0.01355932,-0.0225358,-0.00755604,-0.01599809,0.02591036,-0.01038445,-0.0157513,-0.00890328,-0.0112943,0.00993151,-0.01517067,-0.00682233,-0.01019758
2018-04,-0.03026706,-0.02062273,-0.02763316,-0.01263141,-0.02575107,-0.06576402,-0.0154825,-0.02436149,-0.01704766,-0.01523286,0.02495479,-0.03339605,-0.01146426,-0.00992966
2018-03,0.03169333,0.01665313,0.00738228,0.01902419,0.00855086,0.00385356,0.01186189,-0.00019512,0.01757126,0.01896747,-0.02773775,0.04016354,0.01846644,0.0195711
2018-02,0.01467441,0.00285481,0.00483286,-0.00204801,0.0045403,0.00192308,-0.005074,-0.00353774,-0.00429688,-0.00063012,0.00107759,-0.00239406,-0.00140647,-0.00311785
2018-01,-0.00965892,-0.02411067,-0.00919081,-0.02981524,-0.00991885,-0.00740741,-0.01815905,-0.00252771,-0.03684211,-0.02483484,0.05922812,-0.06136618,-0.03073436,-0.02997385
2018-00,0.01287554,-0.00436335,0.00805802,-0.01651073,0.00977717,0.04020421,-0.00083665,-0.01242236,-0.01602086,-0.01255485,0.02874903,-0.03354668,-0.0160216,-0.01637707
2017-52,0.00849057,0.00597372,0.00734994,0.00992751,0.00505631,0.00776197,0.00586879,0.00486098,0.01453055,0.00696141,-0.02098717,0.01633194,0.01027768,0.01039584
