Month,AGG,BIV,BLV,BND,BOND,BSV,FWDB,GBF,GVI,ILTB,ISTB,MINT,RAVI,SAGG,SCHZ,SPAB,XMPT
2015-08,-0.0044337,-0.00355825,-0.01664959,-0.00473229,-0.00582627,-0.00172895,-0.01051188,-0.00480954,-0.00301586,-0.02607041,-0.0019578,0.00063573,-0.0028082,-0.0037037,-0.00401606,-0.00577145,0.00046948
2015-07,0.01111791,0.01202244,0.03796791,0.01123749,0.01236426,0.00333912,0.01154734,0.01121514,0.00607724,0.03762692,0.00196592,0.0,0.00337885,-0.01459854,0.01220557,0.01208577,0.02257445
2015-06,-0.00807428,-0.01054574,-0.02887714,-0.00773196,-0.0057398,-0.00026656,-0.01808318,-0.01012341,-0.00331416,-0.02621434,-0.00240017,-0.00031776,-0.00084341,0.01017576,-0.00866991,-0.00963391,-0.02434457
2015-05,-0.00160788,-0.00052542,-0.01190778,-0.00188908,0.00010594,0.00213476,-0.00315457,0.00096135,-9.728e-05,-0.01637185,0.0,0.00233521,-0.00014043,0.00557621,-0.00021093,-0.0015361,-0.02156953
2015-04,-0.00647153,-0.00740356,-0.03653684,-0.00721154,-0.01210224,-0.00106525,0.00180099,-0.01050937,-0.00193892,-0.03581069,0.00131377,0.00063667,0.00014037,-0.00062112,-0.00584917,-0.00608134,0.00319197
2015-03,0.00886829,0.0109268,0.01707709,0.0087743,0.01025587,0.00548642,0.00315742,0.00920069,0.00733855,0.01213682,0.00684478,0.00127551,0.0019685,-0.00093081,0.00696496,0.0100077,0.0045977
2015-02,-0.00894277,-0.01407905,-0.04054054,-0.0119649,-0.0069081,-0.00399467,-0.00269179,-0.00943752,-0.00889233,-0.03285058,-0.00220361,0.00085106,0.00014065,0.00937207,-0.00689079,-0.00985595,-0.02464158
2015-01,0.01769643,0.02856004,0.05760397,0.020599,0.02738108,0.0095366,0.01092399,0.02267027,0.01580291,0.0527293,0.00598802,0.0006385,0.00154973,-0.01658986,0.01570458,0.01774691,0.04786485
2014-12,0.0037659,-0.0009311,0.02303263,0.0,-0.00053972,-0.0041466,-0.00361827,0.00844742,-0.00206246,0.02906641,0.00044415,-0.00063816,-0.00154733,-0.00762195,0.00512711,0.0038835,0.0124283
2014-11,0.00848584,0.00965406,0.02,0.00876592,0.01025529,0.00335616,0.00635209,0.00771183,0.00552813,0.00967867,0.00133245,0.00053203,0.00126743,-0.00603865,0.00665665,0.00821596,-0.00335893
2014-10,0.00502513,0.00484522,0.00822562,0.00288343,0.00284651,0.00174708,0.00226757,0.00510204,0.00237271,0.010551,0.00289597,-0.00085052,0.00169229,-0.00956938,0.00713051,0.00431881,0.01952172
2014-09,-0.0030842,-0.00565657,-0.01277039,-0.00220143,-0.00350301,-0.0005385,-0.01609298,-0.00392619,-0.00356295,-0.0087925,-0.0028921,0.00021288,-0.00112597,0.00329144,-0.00129702,-0.0015748,-0.00292969
2014-08,0.00774633,0.01043502,0.036,0.00801659,0.00725913,0.00121196,0.0148917,0.01058253,0.00396825,0.02819138,0.0026738,0.00021283,0.00070492,-0.00919881,0.00846906,0.00711181,0.026
2014-07,-0.00124249,-0.00149517,0.00376091,-0.00083137,0.00088368,-0.00202047,-0.01029083,0.00298151,-0.00099295,0.01166298,-0.00200579,0.00138548,0.0,-0.00356189,-0.00217202,-0.00395257,-0.01383399
2014-06,0.00248808,0.00258503,0.00836481,0.0033301,0.00409745,0.00053887,0.00632054,0.00219058,0.00129096,0.01291103,0.00066875,0.00053311,0.00056449,-0.00384615,0.00217533,0.00158228,-0.0019656
2014-05,0.01033727,0.01152896,0.01510821,0.00809265,0.01150967,0.00364717,0.00912409,0.00831247,0.00628429,0.01340102,0.00447327,0.00053328,0.00297114,-0.00969163,0.01075269,0.01118211,0.01797304
2014-04,0.00982049,0.01112966,0.02828994,0.00917431,0.00677354,0.0023029,0.00785582,0.00545069,0.00592251,0.01542952,0.0015667,0.00085397,0.00127371,-0.00668022,0.00797519,0.00887455,0.03376623
2014-03,-0.00399034,-0.00702093,0.00592217,-0.00378363,-0.00090212,-0.00377562,0.00324525,-0.00211246,-0.00559161,0.00609116,-0.00223314,0.00032044,0.00014152,-0.00203016,-0.00110571,-0.00481541,0.00572917
2014-02,0.00042127,0.00193557,0.00042445,0.00154712,-0.00112969,0.00040502,0.01082353,-0.00151012,0.00020024,0.00573736,0.00067099,0.00096174,0.00198582,-0.00144802,0.00266016,0.00443727,0.00945875
2014-01,0.01469011,0.01971072,0.0460251,0.01460063,0.01472618,0.00516304,0.00809909,0.00970081,0.00748382,0.03329609,0.00292004,0.00096349,0.00085179,-0.01311288,0.01555806,0.01147541,0.05974316
2013-12,-0.0017138,-0.01193653,-0.00089888,-0.00484814,-0.00458505,-0.00419486,0.00431655,0.00225734,-0.00312878,0.00338753,-0.00156915,0.0,-0.00056762,0.00228376,-0.00337686,-0.00204583,0.02809633
2013-11,0.0,-0.00209614,-0.00886132,-0.00028401,-0.00022865,0.00257418,-0.00521327,0.0,0.00100888,-0.00823687,0.00157021,0.00096401,0.00099404,0.00057257,-0.00134348,-0.00203666,-0.02345059
2013-10,0.00900515,0.01426755,0.02536395,0.00986842,0.0096585,0.00326043,0.01442308,0.01306512,0.00546835,0.02555405,0.0044964,0.00193154,0.00184974,-0.01166098,0.00855856,0.00861715,0.00055494
2013-09,0.01368375,0.01853981,0.01675042,0.01346265,0.01945617,0.00697484,0.02463054,0.01036107,0.01198157,0.02235538,0.00634777,0.00161186,0.00099701,-0.01787709,0.01345803,0.01620948,0.04099307
2013-08,-0.00259319,-0.00399202,-0.00180451,-0.00359764,-0.00035059,-0.00109081,-0.00974184,-0.00270974,-0.003257,-0.00339828,-0.00022604,0.00064495,0.00042753,0.0005607,-0.00249433,-0.0024855,-0.00686106
2013-07,0.00129088,0.00298211,-0.01348974,0.00215239,-0.00046425,0.0034153,0.00390816,0.00124559,0.00387044,0.00245153,0.00520598,0.00193653,0.00042778,-0.00394255,0.00453926,-0.00082338,-0.07712487
2013-06,-0.01611023,-0.02711677,-0.04269758,-0.0155653,-0.02128144,-0.00584477,-0.02793561,-0.02481013,-0.01088381,-0.05676763,-0.00786871,-0.00203994,-0.00199232,0.00994318,-0.01699463,-0.01260675,-0.01614583
2013-05,-0.02046115,-0.03031522,-0.06235044,-0.02089965,-0.02276008,-0.00594755,-0.02713891,-0.02227502,-0.01429848,-0.06395233,-0.00179211,-0.00107319,-0.00028458,0.02271404,-0.01924759,-0.01910828,-0.06304139
2013-04,0.00880595,0.01349141,0.03657016,0.00909473,0.01044474,0.0027126,0.01730589,0.00821067,0.00560112,0.03990854,0.0054115,0.00118229,0.00142592,-0.01008936,0.00972591,0.01047965,0.0063015
2013-03,0.00062992,0.00149864,-0.00864198,0.0001398,0.00270514,-0.00027097,0.00281426,-0.00120048,0.0006006,-0.00849389,0.00067613,0.00064537,0.00099957,-0.00914025,0.00088535,-0.00321543,-0.01858913
2013-02,0.00804659,0.01243953,0.02207847,0.00817938,0.00624645,0.00258187,-0.00187441,0.00860324,0.00493156,0.02022998,0.00271309,0.00118445,0.00085776,-0.00171086,0.00512021,0.00729631,-0.01787394
2013-01,-0.0051503,-0.01023472,-0.01990391,-0.00531543,0.00376068,-0.00013583,-0.00513299,-0.0085196,-0.00120518,-0.03129504,-0.00135532,0.00118586,0.00071541,0.00544881,-0.00288248,-0.00923324,0.01285102
