Week,AGG,BIV,BLV,BND,BOND,BSV,FWDB,GBF,GVI,ILTB,ISTB,MINT,RAVI,SAGG,SCHZ,SPAB,XMPT
2018-35,-0.00241383,-0.00189466,-0.00408449,-0.00142284,-0.00129741,-0.00104112,-0.00608766,-0.0029594,-0.00132463,-0.00189753,-0.00020846,0.00030178,0.00162382,0.00446429,-0.00222537,-0.00110375,-0.00122399
2018-34,-0.0017331,-0.00075643,-0.00554785,-0.00103212,-0.00249103,0.00026035,-0.00242915,-0.00129151,0.00037814,-0.00697398,-0.00062461,0.00020129,0.00054149,-0.00063735,-0.00100929,-0.00036711,-0.001628
2018-33,0.00048105,0.0003776,0.00230574,0.00064466,0.00119605,-0.00026018,0.00285016,0.00138274,0.0,0.00187075,-0.00041641,0.00060429,0.0,0.0,0.00141328,0.0,0.0004075
2018-32,0.00164156,0.00215054,0.00758283,0.00206986,0.00059988,0.00104289,-0.00162602,0.00092481,0.00141951,0.00705437,0.00104297,0.00020149,0.00027075,0.00063694,0.00060704,0.00110335,0.00204499
2018-31,0.00183895,0.00240872,0.00280112,0.00194452,0.00120228,0.00052178,-0.00040634,0.00166744,0.0020863,0.00017209,0.00020868,0.00060484,0.0009489,-0.00380711,0.00202963,0.00368868,-0.00040883
2018-30,0.00232987,0.00330957,0.00363636,0.00286272,0.00311683,0.0011757,0.00285249,0.00195294,0.00114025,0.00345363,0.00146321,0.00050429,0.00081378,0.0,0.00183225,0.00111029,0.00328677
2018-29,0.00174859,0.00152847,0.00765967,0.00130141,0.00070394,0.00026144,0.00163265,0.00158346,0.00104603,0.00642138,0.00020925,0.00050459,-0.00013565,0.00350207,0.00020354,0.00111111,-0.002456
2018-28,-0.00116032,-0.00025371,-0.00948635,-0.00116611,-0.00110121,0.00052247,-0.00040816,-0.00277726,0.0,-0.00769099,-0.00020916,0.00040392,0.00163066,0.0,-0.00060815,-0.0018423,0.00328812
2018-27,0.00174165,0.0031742,0.00626595,0.00155501,0.00120337,0.00052253,-0.00569337,0.00166914,0.00066433,0.00702897,0.00041841,0.000101,0.00081599,-0.00063694,0.00162272,0.00221321,0.00371747
2018-26,0.00407648,0.00496752,0.01492011,0.00455196,0.00170734,0.00104603,0.00820008,0.0043725,0.00294789,0.01302536,0.001886,0.00070757,0.0019045,-0.00380952,0.00284669,0.00332963,-0.00246914
2018-25,0.00418695,0.00357416,0.00875429,0.00299831,0.0026215,0.00065394,0.00329083,0.00279825,0.00171233,0.00926411,0.00062867,-0.00010109,0.00013609,-0.00126823,0.00264982,0.00259548,0.00330715
2018-24,0.00038941,0.00076677,-0.00353607,0.00052165,-0.00070593,0.00065462,-0.00041034,9.327e-05,-0.00028566,-0.00191838,0.00083875,0.00030346,0.00040839,-0.00094967,0.000408,-0.00111235,0.00539867
2018-23,0.00224456,0.00076717,0.0072292,0.0015674,0.00273113,0.00013094,0.0,0.00345762,0.0,0.00472441,0.0010491,0.00010118,0.00040872,-0.00126622,0.00081716,0.00222965,-0.00289376
2018-22,-0.00077935,0.00012788,-0.00106408,-0.00065206,0.00020204,0.00144149,-0.00327332,9.327e-05,0.00066711,-0.00745363,0.00083963,0.00030364,-0.00108932,0.00190355,-0.00020408,0.0,-0.00123711
2018-21,-0.00464351,-0.00620961,-0.01055929,-0.00504985,-0.00461569,-0.00378343,0.00617538,-0.00674365,-0.00445118,-0.00942265,-0.00188166,-0.00040465,-0.00054459,-0.01101668,-0.00243655,-0.00258398,0.00537412
2018-20,0.00765381,0.00914124,0.01664471,0.00748719,0.00680894,0.00328343,0.00574713,0.00657586,0.00517043,0.01762425,0.00357895,0.00070908,0.00027252,0.0,0.00595972,0.00672646,0.00752823
2018-19,-0.00429939,-0.00372177,-0.01289483,-0.00366444,-0.00506227,-0.00052514,-0.00368249,-0.00495698,-0.00114701,-0.01582609,-0.00084157,0.00030401,0.00204778,0.00792896,-0.00450543,-0.00446761,-0.00417014
2018-18,0.00048833,0.0,0.00545606,0.0011777,-0.00030352,-0.00026243,0.00206868,0.00131098,-0.00028645,0.01017009,0.0,0.00030417,0.00068213,0.00031726,0.00020471,-0.00037216,0.00208768
2018-17,0.00097714,0.00038457,-0.00306966,0.0001308,0.00070879,0.0002625,-0.0037037,0.0,9.551e-05,-0.0026087,0.00021035,0.00010142,0.00164069,-0.00095087,-0.00020462,-0.00111607,0.00630252
2018-16,0.00029328,0.0014117,0.00059074,0.00039277,0.00141916,0.00131423,0.00330306,9.359e-05,0.00076511,-0.00069553,0.00042096,0.00081218,-0.00040995,0.00605867,0.000205,0.00074488,0.00422297
2018-15,-0.00766023,-0.00750541,-0.01956698,-0.00779018,-0.00563607,-0.00275121,0.01498127,-0.00445517,-0.00352347,-0.01789366,-0.00167997,-0.0001015,0.00068399,0.00416266,-0.00671141,-0.00738552,-0.00586756
2018-14,-0.00183912,-0.00291545,-0.00161775,-0.00220264,-0.00271112,-0.00130856,0.00081599,-0.0009267,-0.00332226,-0.00102145,-0.00167574,0.00020313,0.00082113,-0.00159847,-0.00324544,-0.00184434,-0.0020903
2018-13,9.689e-05,-0.00038042,-0.00299954,0.0,-0.00060265,0.0,0.0045156,-0.0041605,0.00085511,-0.00034025,0.00062854,0.00030475,0.00027409,0.00675893,-0.00243408,-0.00110579,0.00505051
2018-12,0.00642899,0.00651175,0.01717445,0.00573888,0.0047379,0.00170537,0.00329489,0.00474595,0.00371889,0.0174801,0.00273224,0.00010165,0.00013693,-0.00383019,0.00489996,0.0055638,0.00634786
2018-11,0.00019478,0.00012755,-0.0041022,0.00052172,-0.0002018,0.000656,-0.00898326,-0.00074419,0.00209924,-0.00276291,0.00063025,0.0,0.0005478,-0.00095663,0.00020416,-0.00037078,-0.00211416
2018-10,0.00253584,0.00114825,0.00777385,0.00156658,0.00151439,0.0,0.00821693,0.00186463,-0.00057192,0.00466402,-0.00041955,-0.00010167,0.0,-0.00254777,0.00143032,0.00148478,-0.00335993
2018-09,-0.00029268,-0.00038304,-0.00235738,0.0,0.0,-0.00026236,0.01203819,0.00102737,-0.00019075,-0.00138456,0.00063025,0.00071218,0.00095943,0.00063776,0.0002045,0.0,0.0
2018-08,-0.00019499,-0.00216533,-0.00317572,-0.00104371,0.00010082,-0.00078668,-0.00938776,-0.00139691,-0.00076183,-0.00327586,0.0,0.00020346,0.0,0.00063816,-0.00040841,-0.00111276,-0.00460059
2018-07,-0.00058508,0.00191498,-0.00023549,0.00013055,-0.00050439,0.00091876,0.01201326,0.00130585,0.00190858,0.0,0.00105152,0.00030534,0.00041102,0.00031878,-0.00061312,0.00037161,-0.00334308
2018-06,9.742e-05,-0.00076414,0.00352858,0.00078309,-0.00191764,-0.00104808,0.00917049,0.00130305,-0.00114188,0.00344828,-0.00020995,-0.00040696,-0.00027386,0.00159439,0.00081716,-0.00111317,0.00797984
2018-05,-0.0080232,-0.00720971,-0.02395485,-0.00879917,-0.00690622,-0.00196002,-0.02201386,-0.00776412,-0.00473261,-0.02219963,-0.0027208,-0.00010172,0.00082181,0.00288184,-0.00770947,-0.00847145,0.00677392
2018-04,-0.00684337,-0.00831548,-0.01940095,-0.00735389,-0.004995,-0.00156965,-0.0097561,-0.00681337,-0.00369703,-0.01930759,-0.00188482,0.00040725,0.00041135,0.00774943,-0.00606551,-0.00697248,-0.01451078
2018-03,0.0021213,0.00050365,0.00625213,0.00245383,0.00179892,0.0,0.00818666,0.0008282,0.00028414,0.00667111,0.00146658,0.00030556,-0.00041113,-0.00129157,0.00060569,0.00036684,-0.01371521
2018-02,-0.00536861,-0.00638138,-0.01412714,-0.00513545,-0.00546774,-0.00208741,0.00611496,-0.00649469,-0.00245538,-0.01301054,-0.00146352,0.00020381,0.00068559,0.00519818,-0.0054206,-0.00583303,-0.00441235
2018-01,-0.00248685,-0.00299476,-0.0022414,-0.00294607,-0.00287556,-0.00026082,0.00406669,-0.00219459,-0.00169555,-0.00098912,-0.0006263,0.00040775,0.0005487,0.00097624,-0.00200481,-0.00254731,-0.00913786
2018-00,-0.00124164,-0.00024938,0.00235849,-0.00089594,-9.919e-05,-0.00052131,0.00203915,0.00118841,-0.00075301,0.00230795,-0.00104297,0.0,-0.00054847,0.00228311,-0.00060084,-0.00145402,0.00398406
2017-52,0.00334928,0.00374251,0.01079501,0.00410046,0.00258372,0.00130412,-0.00890688,0.00475842,0.00169539,0.01106889,0.00229741,0.0003059,0.00041124,-0.00488122,0.00361446,0.00254823,0.00562249
2017-51,-0.00419647,-0.00472167,-0.01215297,-0.00396065,-0.00514597,-0.00104194,0.00162272,-0.00464608,-0.00328947,-0.0140454,-0.0016684,0.0,0.00068634,0.00424837,-0.00480096,-0.00508167,-0.00439297
2017-50,0.00296141,0.00248756,0.01302054,0.00319939,0.00267884,0.00026048,0.003256,0.00309823,0.00112899,0.01266447,0.0,-0.00010198,0.0,-0.00065338,0.00240385,0.00400437,-0.00593589
2017-49,0.00038212,0.00037304,0.00112221,0.0006398,0.00109192,0.0005209,0.00244998,0.00146279,0.0,0.00213957,0.00041728,0.00030609,-0.00013723,-0.00097975,0.0002002,0.0,0.01365462
2017-48,-0.00124022,-0.0016127,0.00224972,-0.00127812,-0.00029756,-0.00143006,0.00081733,-0.00072979,-0.00112613,0.00247566,-0.00124948,0.0,0.00013727,0.00261952,-0.00139944,-0.00145402,-0.00040112
2017-47,0.0025825,0.00298879,0.00610169,0.00269024,0.00188754,0.00078084,-0.00407498,0.00301811,0.00178655,0.00646766,0.00187852,-0.00010204,0.00068672,-0.00358774,0.00200361,0.00254916,0.0008016
2017-46,0.0029722,0.00386775,0.01132464,0.00321089,0.0023902,0.00026021,0.00452861,0.00256669,0.00141057,0.01177064,0.0,-0.00010204,0.00054953,0.0,0.00301326,0.00292077,0.00521669
2017-45,-0.00515071,-0.00644282,-0.01468097,-0.00536604,-0.00416584,-0.00116898,-0.00569801,-0.00601367,-0.00309278,-0.01587827,-0.00228595,-0.00010207,-0.00054907,0.00458415,-0.00459908,-0.00508351,0.0012087
2017-44,0.00124271,0.00099293,0.00867679,0.0019216,0.00378524,-0.0009085,0.00081867,0.00191991,0.00037506,0.00785297,-0.00020781,0.00010209,0.00096207,-0.00423315,0.00200401,0.00182149,0.00040371
2017-43,-0.00162679,-0.00161531,-0.00456621,-0.00166645,-0.00259067,-0.00038956,-0.00448248,-0.00128076,-0.00168713,-0.00485437,0.00062435,0.0,0.00068729,0.00261182,-0.00240626,0.00036523,-0.01750895
2017-42,-0.00410266,-0.00433437,-0.01008042,-0.00345224,-0.00347084,-0.00116777,0.00040766,-0.00292051,-0.00224761,-0.00765009,-0.0012474,0.0,-0.00013742,0.00459167,-0.00359856,-0.00327154,-0.00514648
2017-41,0.00392307,0.00434945,0.01110094,0.00384714,0.00388446,0.00064885,0.00327065,0.00338549,0.00271867,0.009222,0.00104015,0.0005112,0.00123813,-0.00424559,0.00320834,0.00474626,0.00796495
2017-40,-0.00143527,-0.00124208,-0.00433889,-0.00141008,-0.00059684,-0.00012982,-0.00736498,0.00045762,0.0003752,-0.00184502,-0.00083212,0.00030678,-0.0009626,-0.00065274,-0.00080192,-0.00109409,-0.00317965
2017-39,-0.00400534,-0.00457694,-0.0080435,-0.00319326,-0.00267777,-0.00142579,0.00040933,-0.00409612,-0.00187021,-0.00698835,-0.00083091,0.00010231,-0.00055021,0.0,-0.0031968,-0.00399709,-0.00710059
2017-38,-0.00076409,-0.002228,0.00159799,-0.00089537,-0.00039754,-0.00129618,0.00699588,0.00109569,-0.00084199,0.00100418,-0.00083108,0.00020475,0.0,0.00164042,-0.00040024,0.0,-0.00823207
2017-37,-0.00209584,-0.002836,-0.0005687,-0.00191351,-0.00296883,-0.00181089,0.00658165,-0.00227314,-0.00307692,-0.00299501,-0.00165975,0.00020483,0.00055021,0.00197239,-0.00239378,-0.00181488,0.00590319
2017-36,0.00019006,0.00073719,0.00033856,0.00038168,0.00108706,0.00090521,0.00082338,-0.00054348,0.00046551,-0.00049644,-0.00041468,-0.00010238,0.00027518,-0.00393572,0.00179283,-0.00108538,0.00591949
2017-35,0.00038179,-0.00024688,-0.00182129,0.00025556,0.00248657,0.000259,0.0,0.0,0.00018685,-0.00016703,0.00083126,0.00010244,-0.00082531,0.00131363,-0.00059964,0.00072701,0.00356577
2017-34,0.00086009,0.00198216,0.00319781,0.00153629,0.0,0.0003888,0.00082406,0.00118602,0.001029,0.00486496,0.00062383,0.00020496,0.0,-0.0058651,0.0010008,0.00072833,0.00079334
2017-33,0.00124473,0.00074469,0.00483425,0.00102577,0.00029895,0.00012965,-0.00123813,0.00265543,0.00112381,0.00371371,0.00062435,0.0,0.00124001,0.00589971,0.00060168,0.00072966,0.0015949
2017-32,0.00182167,0.0028575,0.00137994,0.00166859,0.00359676,0.00155783,0.0,0.00238313,0.00149967,0.00067511,0.00104123,0.00030766,0.00027544,0.00097911,0.00240915,0.00109609,-0.00119474
2017-31,0.00240246,0.00124471,0.0035834,0.00386698,0.00340681,0.00012984,0.0,0.0038571,0.00103199,0.00305136,0.00104232,0.00051319,0.0,0.00228833,0.00201207,0.00146466,0.0
2017-30,-0.0011513,-0.00062212,-0.00688863,-0.000644,-0.00070126,0.0009098,0.00041152,-0.0021982,0.00018769,-0.00708144,-0.00020838,0.00030804,0.00124052,0.00032563,-0.00200965,-0.0007318,0.00559329
2017-29,0.00452576,0.00474348,0.01322659,0.0041365,0.0040197,0.0014308,-0.00165358,0.00450492,0.00329288,0.01140231,0.00146138,0.0002054,0.00027552,0.0,0.00423729,0.0044069,0.00400802
2017-28,0.00386847,0.00565469,0.00549965,0.00337662,0.00535624,0.00169403,0.004158,0.00480858,0.00311409,0.00948439,0.00230174,0.00030817,0.00041334,-0.0032457,0.00405515,0.00294877,0.01336574
2017-27,-0.00173863,-0.00113136,-0.00929152,-0.00194527,-0.00292663,0.0001304,0.00291424,-0.00138274,-0.00132051,-0.00905055,-0.00020929,-0.00020551,0.0001378,0.00032468,-0.00222537,-0.00110497,-0.00404204
2017-26,-0.00575153,-0.00807654,-0.01867669,-0.00618636,-0.00681158,-0.00156108,0.0,-0.00658677,-0.00506709,-0.01426174,-0.00125287,0.00020566,0.00055165,0.00228758,-0.0062249,-0.00620891,-0.00965018
2017-25,0.00240431,0.00311876,0.00934687,0.00258732,0.00170871,0.00130259,0.00708333,0.00275609,0.00094011,0.0060955,0.00020903,0.00020572,0.00082781,-0.00423039,0.00261991,0.00146628,0.00444444
2017-24,0.00346921,0.00424628,0.01354982,0.00402023,0.00241814,0.00117233,0.00460637,0.003037,0.00150475,0.01215337,0.00083647,0.00041161,0.00124275,0.0,0.00343365,0.00330518,0.00773616
2017-23,-0.00096274,-0.000499,-0.00151533,-0.0011655,-0.00181141,-0.00078105,0.00292276,0.00027622,-0.00103364,-0.000513,-0.0010445,0.0,-0.00027582,0.00326477,0.0,-0.00110213,0.00448065
2017-22,0.00385989,0.00350131,0.01186142,0.00402441,0.00343053,0.00065104,0.00083577,0.00397045,0.00150517,0.01327815,0.00230077,0.0,-0.00027575,0.0,0.00303337,0.00404858,0.00571429
2017-21,-9.667e-05,-0.00062649,-0.00023565,0.00052029,0.00131552,0.00013029,0.00588483,-0.00018489,0.00028273,0.00172771,0.0,-0.00010299,0.00055172,0.00162602,0.00020259,-0.00073692,0.00410846
2017-20,0.00583034,0.00630279,0.01349576,0.0061462,0.0053955,0.00156617,0.00378788,0.00595238,0.00292757,0.0139958,0.00230753,0.00041216,0.00082839,-0.00614092,0.00570149,0.00444444,0.00041085
2017-19,0.00390092,0.00493858,0.00805773,0.003016,0.00203749,0.00156863,0.00379907,0.00485256,0.00198864,0.0052789,0.00146997,0.00041229,0.00027613,0.0,0.00183673,0.0026003,0.00456053
2017-18,-0.00019463,-0.00227101,0.00276044,0.00013092,-0.00395939,-0.0005224,0.00169635,-9.314e-05,-0.00085122,0.00246089,-0.00062959,0.0001031,0.00027624,0.0,-0.00081483,0.0003712,0.00041408
2017-17,0.00067988,-0.00012599,-0.00190522,-0.0002613,-0.00212831,0.00013051,0.00506971,-0.00111173,0.00018905,-0.00174672,0.00062946,0.00010315,-0.0002762,-0.00064599,-0.00061013,-0.00037023,0.00082884
2017-16,0.00116516,0.00125992,0.0023801,0.00052219,0.00050551,0.00091396,-0.00211238,0.0,0.0010398,0.00279671,0.00062946,0.00051594,0.00027636,0.0,0.0008135,0.00148148,0.00165563
2017-15,0.00634766,0.00749111,0.01458183,0.00696361,0.00539495,0.00248756,0.00594985,0.00680462,0.00474744,0.01450301,0.00336842,0.00072269,0.00069166,-0.00289855,0.00572831,0.00670641,0.00665834
2017-14,-0.00204918,-0.00215846,-0.00469088,-0.00210001,-0.0003055,-0.00143904,-0.00212404,-0.00167707,-0.0011396,-0.00407946,-0.0004207,0.0,-0.00041465,-0.00448862,-0.0010227,-0.0018615,0.00504838
