Week,ERUS,FONE,IXP,IYZ,LTL,VOX,XTL
2017-30,0.00871143,-0.0169697,0.03350654,0.0148075,0.02943031,0.0369213,-0.00426197
2017-29,-0.00178955,0.00487211,0.01427797,0.01514154,0.02799576,0.01322352,0.01829003
2017-28,0.04288355,0.01632569,0.01484604,-0.00754841,0.00255864,-0.00452489,0.00014524
2017-27,-0.00074627,0.00374376,-0.01191121,-0.02303263,-0.05958958,-0.02098695,-0.00276968
2017-26,0.01519757,-0.03337354,-0.0103924,-0.00543305,0.00336567,-0.00938277,-0.0192995
2017-25,-0.00151976,-0.00846604,-0.01485411,-0.02282677,-0.05342933,-0.02110173,-0.00213311
2017-24,-0.03324714,0.00204666,-0.00141218,-0.00861804,-0.00946724,-0.00822459,0.00298932
2017-23,-0.01385345,0.01808575,-0.00736971,-0.00559876,0.01107357,-0.00254594,-0.01114717
2017-22,-0.03097501,0.01148011,0.00850611,0.02875399,0.02216944,0.01924375,0.03812445
2017-21,-0.00386236,0.00954555,0.00196183,-0.00127755,0.02048528,-0.0007923,0.00424163
2017-20,-0.03598099,0.00440714,0.01033732,0.0,0.0084507,-0.00385706,-0.01501896
2017-19,0.01474719,0.01172208,0.00145375,-0.01649223,-0.00877543,-0.01454464,0.00589449
2017-18,-0.03250931,0.00412505,0.01028466,-0.03788112,-0.08630087,-0.0259783,-0.01660355
2017-17,0.00272201,0.01221408,-0.01054162,0.00245851,0.00530553,-0.00119734,-0.00349905
2017-16,-0.0027894,0.00545083,-0.0061897,-0.00462535,0.02114473,-0.01091538,-0.00044458
2017-15,-0.00524843,-0.00067705,-0.00509276,-0.00031182,0.00612472,0.00109314,-0.01374113
2017-14,-0.01969292,-0.01350155,-0.00344078,0.03340902,0.08004073,0.01841723,-0.00471351
2017-13,-0.00738503,0.00554816,-0.00701439,0.01938876,0.04777663,0.01057963,0.00468658
2017-12,0.00838645,0.0,-0.00784593,-0.02718078,-0.05615385,-0.02248172,-0.01087745
2017-11,0.04440559,0.0220605,0.01942276,0.01771337,0.01674217,0.01708833,0.02431747
2017-10,-0.045377,0.00576568,0.00236794,-0.0096494,-0.01344841,-0.01149044,-0.01165708
2017-09,0.00101695,0.00945572,-0.0032656,-0.02872143,-0.06688596,-0.01869761,-0.02111766
2017-08,-0.0330525,0.00370542,0.01000364,-0.01799878,-0.02905526,-0.00289017,-0.02642617
2017-07,-0.02274183,0.0,0.00458716,0.00092223,0.00381402,0.00893636,0.01315601
2017-06,-0.01202912,0.00470478,0.00919456,0.0092908,0.00290803,0.01194128,0.02474227
2017-05,0.00380711,0.02557298,-0.00491177,-0.02463639,-0.07007732,-0.01720293,0.00647059
2017-04,0.043379,0.02652259,-0.01568627,0.01251117,0.02412244,-0.00356955,0.01571069
2017-03,-0.0122739,0.00570578,0.00286328,-0.01035503,-0.01205223,-0.00356768,0.00432707
2017-02,0.00482005,0.01309612,0.00939306,0.00624814,-0.00280158,0.00464429,0.0074118
2017-01,-0.0085362,0.012003,0.0119804,-0.00875657,0.0054821,-0.01421947,0.00206612
2016-52,0.01147165,0.0,0.00091827,-0.0161919,-0.04726491,-0.01239887,-0.01965962
2016-51,0.0,-0.0002482,0.0075576,0.01958984,0.03127761,0.01430401,-0.00220653
2016-50,-0.01822917,0.01228686,0.00093041,0.01812401,0.02902675,0.01184081,0.00688623
2016-49,0.04773605,0.03375747,0.02904963,0.04173459,0.07483536,0.03487714,0.03719072
2016-48,0.04002965,-0.01180395,-0.01105604,-0.01783398,0.00613983,-0.02410176,-0.02703934
2016-47,0.00631032,0.0116189,0.01888629,0.02564957,0.0585443,0.02777778,0.01115185
2016-46,0.02567095,0.01716852,0.01391097,0.01789401,0.0,0.02580029,0.0175
2016-45,0.0007734,-0.00262329,-0.03283979,0.02582243,0.07248485,0.01159,0.03551067
2016-44,-0.04889228,-0.0260603,-0.02443574,-0.05527469,-0.12234043,-0.03258175,-0.01359987
2016-43,-0.01101824,-0.00911392,0.00224509,-0.00566856,0.0,-0.00503336,-0.02168675
2016-42,0.01467748,0.00412477,-0.01579431,-0.0037037,0.0,-0.01518488,0.00672793
2016-41,-0.03225806,0.0,-0.00219539,-0.01129193,-0.04153418,-0.00564451,-0.03543183
2016-40,-0.00075415,0.00025176,-0.02923872,-0.0213605,0.0,-0.02105862,0.00462372
2016-39,0.00885978,-0.0052592,-0.0028404,-0.00196657,0.01472071,-0.00181715,0.00413947
2016-38,0.02395915,0.04996056,0.0292249,0.01621979,-0.00020751,0.02133303,0.01345507
2016-37,-0.03246753,-0.01451153,-0.0261669,-0.01468668,-0.03484879,-0.0145273,0.0032515
2016-36,-0.017039,-0.01276813,-0.02719665,-0.02531229,0.04853752,-0.02883963,-0.01653428
2016-35,0.00431203,-0.00178435,-0.00123109,0.00330469,-0.00169276,0.00102261,0.00938735
2016-34,-0.0035461,-0.00861414,-0.0071892,0.00234821,0.01351062,0.00011476,-0.00166556
2016-33,-0.01234568,0.00203097,-0.02445699,-0.02485284,-0.00948992,-0.02727171,-0.00561427
2016-32,0.00435471,0.00180134,0.0146316,-0.02017937,-0.02388173,-0.00940265,0.00369499
2016-31,0.03413822,0.00753051,-0.00225225,-0.02580044,-0.04120187,-0.02040376,0.00605245
2016-30,0.00366002,0.00920568,0.00468913,-0.00185185,-0.01697913,-0.00288616,0.00185092
2016-29,-0.02296613,-0.00105988,0.00138576,-0.00123954,-0.00529755,0.00117823,-0.00426767
2016-28,0.04168369,0.02835903,0.00731325,0.01340399,0.08266819,0.01197282,0.0166205
2016-27,0.01498127,0.01169916,0.00157729,0.02221507,0.0,0.01583984,0.03750679
2016-26,0.06495205,0.05340376,0.05340161,0.0668942,0.07816768,0.05554913,0.05972143
2016-25,-0.03884298,-0.02812242,-0.01987111,-0.00829463,-0.01518834,0.00160514,-0.02655498
2016-24,0.01064736,-0.01007557,0.00621232,0.02410468,0.03709328,0.02088989,0.00957197
2016-23,-0.00954753,-0.01551443,-0.00823193,0.00309704,0.04433819,0.01105169,-0.00766625
2016-22,0.01412067,0.01285634,0.00342096,-0.0196477,-0.06835443,-0.00932153,0.00089993
2016-21,0.03963809,0.03396226,0.02185491,0.02444134,0.03263506,0.01587683,0.02593767
2016-20,-0.04872107,0.00620201,-0.01971326,-0.00138889,-0.02327099,-0.02181562,-0.00410524
2016-19,0.0336887,-0.0089153,0.00764053,-0.00070077,0.01738149,0.00774178,-0.00377003
2016-18,-0.04318273,-0.03591954,-0.01974386,-0.03742414,-0.08846396,-0.02332598,-0.03395742
2016-17,0.03017945,-0.02185637,-0.0028746,-0.00511771,-0.00809372,-0.0014116,-0.00311869
2016-16,0.03912495,0.00309336,-0.00160571,0.00786863,0.01527051,-0.00257943,0.00959233
2016-15,-0.00125839,0.00621118,0.01512391,0.0178634,0.03125,0.01193602,0.00482733
2016-14,0.03925067,-0.01410835,-0.00615162,-0.01913876,-0.03469562,-0.01863065,-0.01390413
2016-13,0.02000889,0.00285959,0.00653951,0.04450826,0.06400938,0.03753319,0.03228242
2016-12,-0.02857143,-0.02852349,-0.00596961,-0.00680029,0.00629371,-0.00264964,-0.01326855
2016-11,0.02305987,0.0161748,0.00381194,0.00429031,0.00210231,0.00677884,0.00639218
2016-10,0.00223314,0.0103211,0.01829268,-0.00991501,-0.02616015,-0.00240819,-0.00712277
2016-09,0.0870856,0.0334628,0.0265806,0.02038588,0.04406037,0.02395433,0.0192123
2016-08,-0.02765432,-0.01021635,-0.002835,0.0399539,0.08374384,0.02259382,0.029994
2016-07,0.02573529,0.03924647,0.00847131,0.01183432,0.0295858,0.00610628,0.02995392
2016-06,-0.00589812,-0.02235516,-0.00981902,0.01956788,0.01063183,0.00806665,0.03230118
2016-05,-0.00365154,-0.02457002,-0.01035782,-0.02161328,-0.00684182,-0.00848984,-0.02742268
2016-04,0.125,-0.01245718,0.04540928,0.04665314,0.11714824,0.0463138,0.01140684
