Week,ACWI,ACWV,ACWX,CGW,CWI,DBEF,DIM,DLS,DOL,DTH,DWM,DWX,EFA,EFAV,EFG,EFV,EWS,EZU,FDT,FGD,GDX,GDXJ,GII,GNR,GUNR,GWX,IDLV,IDV,IEFA,IGF,IOO,IXC,IXG,IXJ,IXP,IXUS,JXI,KXI,LIT,MOO,MXI,NUGT,PDN,PICK,PID,PPH,PSP,PXF,RXI,SCHC,SCHF,SCZ,SDIV,SIL,SMH,SPDW,TAN,TLTD,URA,URTH,VEA,VEU,VSS,VT,VXUS,WOOD
2017-47,0.01169078,0.00534759,0.01660013,0.01353339,0.01671691,0.00658328,0.01364976,0.01967724,0.01763331,0.01811949,0.01810826,0.01576044,0.01855483,0.01274254,0.01754612,0.01873536,0.02347611,0.01998074,0.01891293,0.01092896,0.01303957,0.01265422,0.01644399,0.02028585,0.01716172,0.01939394,0.01513718,0.01390236,0.01771051,0.01879441,0.0170765,0.01616413,0.00696271,0.01243504,0.01655868,0.01692359,0.00757123,0.01049233,0.02550336,0.0163991,0.02016626,0.03479471,0.01885626,0.02942171,0.01657825,0.02106819,0.01219512,0.01879258,0.01100068,0.01928697,0.01709667,0.01739851,0.01227321,0.03367448,0.01216738,0.01700567,0.01515772,0.0191565,0.07625272,0.01128181,0.01760228,0.01651447,0.01817037,0.0130186,0.01629328,0.01052324
2017-46,0.00131965,0.00162216,0.00274435,0.00295334,0.00358028,-0.00853018,0.00311187,-0.00550847,-0.00233397,-0.00584795,-0.00173044,0.00052618,-0.00105708,0.00320419,0.00273046,-0.00524476,-0.00575895,0.00216972,-0.00188002,-0.00167926,0.01033243,0.01607818,-0.00429887,-0.01610708,-0.01365854,0.00061087,0.00348763,-0.00161134,-0.00032279,-0.00704545,-0.00295052,-0.02717391,-0.00015506,0.00353554,0.00856414,0.00303183,-0.00867337,0.00424843,-0.02041885,0.00086881,-0.00460052,0.03063,0.00031066,-0.03365226,0.00464191,0.01603879,0.00792952,-0.00164319,0.00477257,0.00117543,0.00031153,0.00435219,0.00107124,0.01488095,-0.00040032,0.00066912,-0.01237113,-0.00154512,0.02837939,-0.00012019,0.0,0.00253708,0.00471442,0.00071695,0.00372301,0.01283564
2017-45,-0.00582326,0.00024997,-0.00938478,-0.00704846,-0.00951345,-0.01228978,-0.00903799,-0.01205487,-0.00878661,-0.01198466,-0.00873031,-0.00130753,-0.00894188,-0.00361167,-0.00950546,-0.00861739,0.00999167,-0.01676901,-0.00908021,-0.0008316,-0.017249,-0.02114618,-0.00182964,-0.01093994,-0.0096494,-0.008449,-0.00345912,-0.00919759,-0.00939191,-0.00135655,-0.00674309,-0.0071535,-0.01285977,-0.00646711,0.00418791,-0.00881131,0.00396511,0.01502367,0.0198232,-0.01388889,-0.01255863,-0.04816892,-0.00826193,-0.01838117,-0.00718485,0.00018563,-0.0187234,-0.00947977,-0.00736577,-0.01124892,-0.0098401,-0.01490581,-0.00106724,-0.03580482,-0.01358184,-0.00924092,-0.00454921,-0.00823547,0.14166667,-0.00489377,-0.00823917,-0.00867052,-0.01244113,-0.00626067,-0.00863494,-0.00175413
2017-44,0.00735294,0.00313519,0.00738241,0.0026643,0.00798238,0.01308901,0.00400308,0.00587166,0.00442385,0.00411025,0.00593301,-0.00026226,0.00661058,0.00043485,0.0075188,0.00366018,0.00543024,0.0054567,0.01831565,-0.00375,-0.01469279,-0.01083591,0.0030656,0.01047359,0.00886408,0.0095092,0.00506169,0.00159642,0.00658106,0.0018186,0.00978607,0.01543686,-0.00183318,0.00407106,-0.00161929,0.0080713,0.0,0.00597938,0.00489263,0.000344,0.01060071,-0.05028305,0.01620948,0.02441472,-0.00590939,-0.000373,0.00085106,0.00770128,0.00244045,0.00817041,0.00839291,0.00844231,-0.00846113,-0.03069214,0.02280197,0.00766667,0.00849618,0.00692947,0.02072539,0.0050578,0.00808177,0.00760086,0.00800936,0.00732969,0.00817692,0.01461039
2017-43,0.00309278,0.00024988,0.00147992,0.00325636,0.00165517,0.00889914,0.0,0.00126227,-0.00337767,-0.00507492,-0.00401146,-0.00471081,-0.00015056,-0.00115875,0.00351883,-0.00289017,0.01569126,0.00191296,0.00017147,-0.01115702,-0.02452913,-0.0291882,-0.00429009,-0.00159854,-0.00491965,0.00650759,-0.00378549,-0.01266624,0.00048309,-0.00544588,0.00897583,0.00343428,0.00612557,-0.02335609,-0.01203753,0.00117984,-0.00297796,-0.00915378,-0.01287208,0.00396278,0.00708455,-0.07937008,-0.00434513,-0.01315789,-0.00978474,-0.04497778,-0.00338696,-0.00046806,0.01289171,-0.00292997,0.00031172,0.00316931,-0.01401869,-0.04528986,0.01873757,0.00066867,0.04188948,0.00015444,-0.04153094,-0.00024064,0.00095374,0.00175816,0.00027098,0.00316775,0.00074419,0.00250405
2017-42,0.00352993,0.00362908,-0.00461506,0.00325636,-0.00519694,0.00264201,-0.00246116,-0.00995851,-0.00209908,-0.00240154,-0.00190006,-0.00052029,-0.00254758,-0.00489068,-0.00620877,-0.00153433,-0.00084495,-0.00309009,-0.00748681,0.00041169,-0.00993521,-0.01984009,0.00428047,-0.00590238,-0.00650407,-0.00857843,-0.00157332,-0.00062992,-0.00416067,0.00181036,-0.00114521,-0.00648348,0.00844595,0.0130814,0.00053032,-0.00568087,0.00963275,-0.01380276,-0.01193634,0.00068788,-0.00184672,-0.03279182,-0.01139163,-0.01583199,-0.00194553,0.01375737,-0.00419463,-0.0016298,-0.00157589,-0.0089829,-0.0034098,-0.00906992,-0.00716479,-0.00933735,0.00687685,-0.0049867,-0.0009095,-0.00368381,0.0,0.00313555,-0.00379147,-0.00465116,-0.00919068,0.00143637,-0.00480148,-0.00325492
2017-41,0.01041357,0.01202075,0.01750267,0.00775425,0.01697746,0.00934891,0.02168788,0.02005366,0.01253452,0.01484907,0.01387016,0.01844046,0.01628367,0.01794573,0.02111096,0.01203416,0.02069858,0.01030681,0.0206669,0.01248439,0.00384123,-0.01006036,0.01647107,0.01945796,0.01689301,0.01617418,0.01238882,0.01496815,0.01724418,0.01559275,0.00927644,0.00435053,0.00478912,0.00327273,-0.00158898,0.01888719,0.01667344,0.0224444,0.01988017,0.0164537,0.01704457,0.00142898,0.02300662,0.02897574,0.01047806,-0.0054877,0.01019541,0.0158355,0.00335769,0.01764187,0.01701859,0.0198286,0.01712506,0.0,0.01709217,0.01792963,0.03459716,0.01636789,-0.0032077,0.00999269,0.01759036,0.01854409,0.02007266,0.01045448,0.01917654,0.01552608
2017-40,0.00717918,0.00444444,0.00471496,0.00329835,0.0047486,0.00334672,-0.00297992,-0.00183357,-0.00021254,-0.00364078,-0.0017321,-0.00288866,0.00015225,0.00043828,0.00026406,-0.00116347,0.00521286,-0.00023952,0.00418337,-0.00290577,0.0232967,0.02931499,-0.00308769,0.00394066,0.00565348,-0.0009311,0.00063512,-0.00694883,0.00065104,-0.00251947,0.0079495,-0.00772082,0.00759808,0.00271838,-0.0007046,0.00341297,-0.00305561,0.0,0.03597527,-0.00069845,0.00863829,0.07068803,0.00062972,0.01895735,-0.00650195,-0.00228914,0.00942588,-0.0004727,0.01217079,-0.00146929,0.0,-0.0023486,0.00155925,0.02535125,0.00990426,0.00101488,0.01182592,0.00219161,-0.02857143,0.0036639,0.0,0.0037594,0.00154602,0.00642148,0.00396301,0.01403723
2017-39,0.00617749,0.00280148,0.00559862,0.00120956,0.00589722,0.01156069,0.00550834,0.00967972,0.00511727,0.00755545,0.00658022,0.0,0.00704765,0.00234158,0.00504648,0.00839188,0.00570426,0.01379811,0.00877963,0.00794314,-0.03615483,-0.03882657,-0.00511038,0.00232721,-0.00232945,0.01191223,0.00095208,0.00539854,0.0070388,-0.00680735,0.0068364,0.00278293,0.01484758,0.00274776,-0.00070126,0.00652697,-0.01167237,-0.00285249,0.03911765,0.00527612,0.00827894,-0.1031746,0.01146132,0.01527247,0.00260756,0.00161031,0.00953206,0.00760276,0.00612327,0.00830368,0.00634317,0.01116562,0.00419068,-0.02658303,0.03997696,0.00714286,0.0197972,0.0085026,-0.02113208,0.00678929,0.00678788,0.00517104,0.0090809,0.00766509,0.00435936,0.00679537
2017-38,-0.00015002,-0.0073362,0.00214087,0.00302206,0.00139548,0.00511596,0.0,0.00284657,0.00405117,0.00511447,0.00464576,-0.00467897,0.00351574,-0.00364697,-0.00197863,0.00822079,-0.00217486,0.00288184,-0.00225891,0.00334868,-0.01110162,-0.0058292,-0.00848999,0.0,0.00267023,-0.00124494,-0.00252924,0.00285442,0.00277687,-0.01010782,-0.00140812,0.01813554,0.01509614,-0.00455125,0.01242016,-0.00017047,-0.01414343,-0.01883013,-0.04079956,-0.00157729,0.00110254,-0.03589891,-0.00471995,-0.01378615,0.00590939,0.00865333,0.0139738,0.00666191,0.00573671,0.00147929,0.00316656,0.00016886,-0.00208659,0.00669507,-0.0086178,0.00305914,-0.00368155,0.00392465,-0.01399116,0.00271303,0.00290487,0.00158134,-0.00190822,-0.00029343,0.00094251,0.01631955
