Month,ACWI,ACWV,ACWX,CGW,CWI,DBEF,DIM,DLS,DOL,DTH,DWM,DWX,EFA,EFAV,EFG,EFV,EWS,EZU,FDT,FGD,GDX,GDXJ,GII,GNR,GUNR,GWX,IDLV,IDV,IEFA,IGF,IOO,IXC,IXG,IXJ,IXP,IXUS,JXI,KXI,LIT,MOO,MXI,NUGT,PDN,PICK,PID,PPH,PSP,PXF,RXI,SCHC,SCHF,SCZ,SDIV,SIL,SMH,SPDW,TAN,TLTD,URA,URTH,VEA,VEU,VSS,VT,VXUS,WOOD
2017-07,0.02593116,0.01948731,0.03520327,0.02614796,0.03343195,-0.00103734,0.03455084,0.04372248,0.02725039,0.03112245,0.02920892,0.03308723,0.02783555,0.02379876,0.02677952,0.02876377,0.05666364,0.03126602,0.04147207,0.0206097,0.06415094,0.04498594,0.03452658,0.05082592,0.04956268,0.03797054,0.02729365,0.02464673,0.02915452,0.03425467,0.01761252,0.02029275,0.02389855,0.00263405,0.04114781,0.03462026,0.03044397,0.00938392,0.06295488,0.0232818,0.0452381,0.16851918,0.0394385,0.10445469,0.02330363,-0.01403509,0.02885482,0.02871411,0.0241695,0.03809824,0.03025266,0.04192266,0.01174586,0.04846626,0.06080736,0.02882562,0.08423215,0.03152192,0.07627765,0.02373316,0.03079664,0.03287958,0.03891429,0.02474639,0.03274107,0.01013121
2017-06,-0.00031461,-0.01059979,-0.00339443,-0.01134216,-0.00029603,-0.01269297,-0.00179944,0.00485584,-0.0086417,-0.00886525,-0.00464459,-0.00677874,-0.00350263,-0.00994065,-0.00999179,0.00102291,0.00090334,-0.01291139,-0.00409074,0.00172861,-0.02286996,0.06544755,-0.00798152,-0.00205181,-0.00946832,0.00654664,0.00229885,-0.00620104,-0.00409486,-0.00746965,-0.00488162,-0.02017863,0.0393028,0.01836618,-0.02678414,-0.00108735,-0.0317978,-0.02673797,-0.02870305,-0.00317876,0.00951557,-0.09016641,0.00266046,0.03240178,0.01540616,0.01678571,0.00362319,0.00050088,-0.01675414,0.00377358,-0.00099469,-0.00428571,0.01033732,-0.02979462,-0.04979602,-0.0112478,0.0718232,0.00345565,0.02717826,-0.00370844,-0.00050787,-0.00167399,0.00291914,-0.00107659,-0.00119737,0.01167315
2017-05,0.01940178,0.0301649,0.02653205,0.02105604,0.02786283,0.01866855,0.02881356,0.02251407,0.03528598,0.03421053,0.03271812,0.02376957,0.03123451,0.05138278,0.04542177,0.01674691,0.02518657,0.04283054,0.02830189,0.01323919,0.04626168,0.00320821,0.04056437,-0.00153886,-0.00760594,0.01882353,0.02753229,0.0383168,0.03048024,0.04065638,0.02695214,-0.01314492,-0.00530368,0.02352244,0.04022039,0.02378277,0.06284093,0.04672507,0.03683241,0.0051088,0.00069747,0.121,0.03224688,-0.02839117,0.01071429,0.03772523,0.02351834,0.02694301,0.01058908,0.0237013,0.02993806,0.02914965,-0.0184182,0.03098927,0.0677792,0.0335889,0.0604815,0.02015241,-0.02332815,0.01783841,0.03110994,0.02793417,0.0185,0.01717888,0.02493817,0.01709998
2017-04,0.01630972,0.00919167,0.02093863,0.03484087,0.02038257,0.01545651,0.03703051,0.03527308,0.02225379,0.02128806,0.02633283,0.01367521,0.02569775,0.01614708,0.02885617,0.02633283,0.0018797,0.04651163,0.02562574,0.01648107,-0.04150284,-0.12019759,0.00823687,-0.00407747,-0.00574506,0.01785101,0.0201669,0.01393728,0.02818964,0.01515905,0.01592193,-0.01866752,0.00990271,0.01750503,-0.01412532,0.02053743,0.00311111,0.01608125,0.01727375,0.02205456,0.00494875,-0.13580576,0.02605282,-0.02692308,0.00863931,0.01101824,0.05677291,0.01913367,0.03214134,0.03127102,0.02190039,0.04254079,0.01664817,-0.04142341,0.00234009,0.02282934,0.01365796,0.02411547,-0.12661675,0.01712833,0.02299161,0.02060713,0.0273888,0.01719152,0.02071006,0.02894122
2017-03,0.00115435,0.00503538,0.01864573,0.02048481,0.01852443,0.00905797,0.0241572,0.01485639,0.02322768,0.028595,0.0235579,0.01885151,0.02170516,0.02296211,0.02534351,0.01838074,0.02073288,0.0458796,0.01923466,0.00894855,-0.00749559,-0.04381512,0.03498274,-0.01305221,-0.01521047,0.01219087,0.02090716,0.02749018,0.02109783,0.03656025,0.00412053,-0.01236133,-0.01815098,-0.00421771,0.00199637,0.01762977,0.02943861,0.00853971,0.06498195,-0.01502187,-0.00805745,-0.068561,0.00974026,-0.05186797,0.00939306,-0.01678791,0.00697906,0.0161247,0.01061093,0.01744783,0.02017291,0.01738443,0.0,-0.02707137,0.03143392,0.01980198,-0.0731171,0.01659233,-0.08608059,-0.00026745,0.02096552,0.01874012,0.01632824,0.00257483,0.0180684,0.00415088
2017-02,0.02463223,0.03659574,0.00750751,0.0186554,0.00813537,0.01610487,0.00732735,0.0148448,0.00048936,-0.00139353,0.0049162,0.00439754,0.00795756,0.01469851,0.01420987,0.0,0.02271605,0.00029682,0.01075714,0.00543971,-0.04164896,-0.02983892,0.02812872,-0.02242711,-0.01866855,0.01530249,0.01883376,0.00180245,0.00856327,0.03519062,0.02956989,-0.01800948,0.02360248,0.04928829,-0.00382027,0.00998203,0.05481091,0.04664723,-0.02851485,-0.00057637,-0.01665498,-0.13815188,0.01889589,-0.04494786,0.00438276,0.05664878,0.0,-0.0013587,0.01164963,0.00172771,0.00585866,0.01290843,0.01581028,-0.05718783,0.01580756,0.00813953,0.07964602,0.00072137,0.00555556,0.02450505,0.00729313,0.01037823,0.01035219,0.02538834,0.01010989,0.02503765
2017-01,0.02114276,0.01621234,0.03269331,0.03490909,0.03270398,-0.00931099,0.03507434,0.0364822,0.02105263,0.01880342,0.0281106,0.0274179,0.02660835,0.03055939,0.0351987,0.02019056,0.08137045,0.01908513,0.03867884,0.02418605,0.09967396,0.12279653,0.00745013,0.0383917,0.03847563,0.03526355,0.03637045,0.02479645,0.02749411,0.01368026,0.00542152,-0.03781004,0.00952381,0.01188418,0.00181521,0.034862,0.01343248,0.0207905,0.07090987,0.03827655,0.07056375,0.28847279,0.03073377,0.12168232,0.01777778,-0.0201763,0.03567681,0.03175049,0.02568146,0.03381295,0.02913356,0.03251521,0.0119863,0.12697938,0.03730913,0.03006012,0.01933535,0.02937874,0.31066461,0.01835899,0.03015367,0.03393881,0.03973658,0.0215311,0.03326498,0.01712856
2016-12,0.02435504,0.02461312,0.02295169,0.00588019,0.02257728,0.04718477,0.02535377,0.01993115,0.0357609,0.03778637,0.03227349,0.02925615,0.03100775,0.02046216,0.02327515,0.03651019,-0.03294979,0.06673145,0.01517857,0.02030948,0.0152484,-0.02967543,0.03937798,0.01279318,0.01007087,-0.01292467,0.01916443,0.02764977,0.02907686,0.03714046,0.03742557,0.02639849,0.0248227,0.02533064,0.05110897,0.02350427,0.05210169,0.03793267,0.01275847,0.02429483,0.00133664,-0.01171494,0.02094862,-0.03697749,0.02217125,0.03080082,0.02040816,0.0348055,0.01264223,0.01731123,0.02660407,0.02397408,0.03774715,-0.03557312,0.0669746,0.00976404,0.00185989,0.03285934,0.10572687,0.02408408,0.02697033,0.02315271,0.01183836,0.02273128,0.02229,0.04176755
2016-11,0.0166119,-0.01212471,-0.01646198,-0.00473244,-0.01866938,0.02420331,-0.00990868,-0.01182584,-0.01540041,-0.01032448,-0.01855767,-0.01596561,-0.01337793,-0.03422694,-0.03226837,-0.00047495,0.02215019,-0.03456867,-0.01425439,0.01178203,-0.17104731,-0.18337531,-0.03118254,0.04078212,0.02857143,-0.01882012,-0.02564103,-0.00917431,-0.01556265,-0.03517186,0.01465517,0.05537025,0.08017908,0.00737595,-0.02383634,-0.01775272,-0.05374823,-0.05226868,0.03268271,0.02984438,0.03137951,-0.47554077,-0.01937234,0.11437613,0.01,-0.00703235,0.03699552,0.00205701,0.03405866,-0.01161103,-0.01195526,-0.02392947,0.01754386,-0.17332667,0.05053151,-0.0096463,-0.07757644,-0.00458278,0.05503731,0.02109642,-0.01210511,-0.01736195,-0.01962096,0.01803571,-0.01634438,0.05076568
2016-10,-0.0171184,-0.02736666,-0.01688843,-0.04768439,-0.0146569,0.00886739,-0.01828223,-0.02169729,-0.0148727,-0.01219512,-0.01795994,-0.01028744,-0.01940867,-0.04825265,-0.04403474,0.00379327,-0.04271745,-0.00615764,-0.02859564,-0.02619048,-0.05520752,-0.06564551,-0.02533705,-0.0013947,-0.0023166,-0.03014371,-0.039544,-0.02746845,-0.02237354,-0.02379105,-0.00963173,-0.01576873,0.0261791,-0.06822895,-0.04421466,-0.01855628,0.0,-0.03134392,-0.02067752,-0.01412013,0.00098445,-0.21226216,-0.02564103,0.03529958,-0.03178123,-0.09690986,-0.02605863,0.00029283,-0.01488404,-0.03757829,-0.01996234,-0.03166227,-0.0396324,-0.0759343,-0.00967498,-0.02192639,-0.05130946,-0.00865964,-0.05574614,-0.01658423,-0.02216465,-0.01699717,-0.03114895,-0.01812478,-0.018456,0.00943198
