Week,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2018-16,0.00576218,-0.01516966,-0.00073611,-0.0011121,0.00192012,0.00425114,-0.02698535,0.00144092,0.00066957,-0.0011705,0.00469095,0.00230061,0.02597403,-0.00544041
2018-15,-0.00469239,0.0,-0.00183486,-0.00066726,-0.00268199,-0.00195503,0.01842415,0.0,-0.00399734,0.00038956,-0.00137779,0.0073246,0.0,0.00286086
2018-14,-0.01752577,0.02495908,0.00184094,0.00626819,0.00346021,0.01121002,0.00750395,0.0,0.00603419,0.0019516,0.00193477,0.01852582,0.0,0.00627451
2018-13,0.00206186,0.01242751,0.0014771,0.00269724,0.00192604,-0.01108937,-0.00197083,-0.00517241,0.0,0.0027451,0.00221178,0.00558214,0.0,-0.00340136
2018-12,0.02224576,0.0,-0.00330518,0.00067009,0.0,-0.00453368,-0.01476301,0.0,0.0,-0.00467108,0.00724032,-0.0003951,0.0,-0.00313316
2018-11,0.01655099,-0.0212766,0.00036778,-0.01267512,-0.01670463,0.00097561,0.00901607,0.0,-0.0146228,-0.00466926,0.00446803,-0.00159172,0.0,0.01079231
2018-10,0.01079914,-0.02313725,-0.00292612,-0.00331638,-0.00075873,-0.00741457,0.0,-0.00143184,-0.00231405,0.0,0.00279877,-0.00392465,0.0,0.0
2018-09,-0.00911528,0.0,0.00331004,0.00690885,0.00038285,0.00290229,0.02109873,-0.00710833,0.00766667,0.00077791,-0.00334262,0.00433754,0.0,-0.00339603
2018-08,0.00484392,0.0,-0.00658858,-0.01235112,0.00647619,-0.00893997,0.0,0.0,-0.00992063,-0.00543057,-0.00388673,-0.02671312,0.0,-0.01138716
2018-07,-0.00268384,0.0,0.00257542,0.00066519,0.00229095,-0.00318878,0.00558659,0.0,0.00299401,-0.00038941,-0.00415512,0.00866483,0.0,0.00442478
2018-06,-0.00532765,-0.01279566,0.00591497,0.01029543,0.00653093,0.00449438,0.00400641,-0.00678733,0.00871314,0.00468933,-0.00550964,0.01922307,-0.01079137,0.01290153
2018-05,0.00106667,-0.00232108,-0.01106195,-0.01115076,-0.01372998,0.00128659,-0.01199041,0.0,-0.0066912,-0.00933126,0.0005499,-0.02365931,-0.00102669,-0.01933987
2018-04,0.00760043,0.01669903,-0.00729395,-0.01155187,-0.0070632,-0.00788146,0.00803536,0.0,-0.01080196,-0.0050077,-0.00192097,-0.02706767,0.0,-0.00332992
2018-03,0.00597177,-0.01245283,0.00255661,0.006139,0.00410601,0.00125945,0.00524194,-0.00308123,0.00557377,0.0030888,-0.00354997,0.00791258,-0.00101937,0.00102223
2018-02,0.00108519,0.01741486,0.00036617,0.00683271,0.00187617,0.01239669,0.0,0.00591716,0.00296932,0.00232378,-0.00409612,-0.0030326,0.0,0.00102512
2018-01,-0.0281765,-0.00793951,0.00294334,0.00308438,0.0022531,0.00894569,0.00575421,0.0,0.00463423,0.00077519,-0.0010923,0.01108139,0.0,0.00773994
2018-00,-0.00947867,-0.00927716,-0.00110579,0.0062098,0.00681818,0.00288647,0.01040366,-0.0027972,0.00700467,0.00349379,-0.00081855,0.00924855,0.0,0.00414508
2017-52,0.01265823,0.0265873,-0.00036928,0.00022242,0.0,0.00258314,-0.0008316,0.0002798,0.00134093,0.00233463,0.00327154,0.01020809,-0.001998,-0.00025853
2017-51,-0.01875,0.05020408,-0.00331248,0.00022262,0.00038139,0.00681155,-0.00619835,0.00084034,-0.00066979,-0.0015534,0.00354997,0.01077844,-0.0024975,0.00654108
2017-50,0.00729927,0.01008065,-0.0011066,0.00111757,0.00381971,-0.00357491,-0.00779008,-0.00729313,0.0013468,0.00038911,-0.00163711,0.00040225,-0.0137931,0.00026164
2017-49,-0.0005211,-0.01532258,-0.00221893,-0.00044693,-0.0007657,-0.00711284,0.01536545,0.00905746,0.00067385,0.00077882,-0.00380745,-0.00561798,0.01754386,0.00394841
2017-48,-0.00466321,0.00664452,-0.00258112,-0.00156041,-0.00343905,0.00129912,-0.01962355,-0.0053491,-0.0003367,-0.003885,0.0091135,0.00888171,0.00554435,0.00315126
2017-47,0.00051894,0.0,0.00334076,0.00379803,0.00344432,0.00129492,0.00160449,0.0011274,0.00541455,0.00273544,-0.00385356,0.01178862,0.01069791,0.00289321
2017-46,0.0107582,-0.02687061,0.00111441,0.00022442,-0.00191278,0.00455285,0.0048583,-0.00028177,0.00033887,0.00234926,-0.00576132,-0.00363783,0.0,-0.00288714
2017-45,0.01244813,-0.01985413,-0.00074322,-0.00535236,-0.00419048,-0.00484496,0.01222494,0.0005677,-0.00371371,-0.00234283,-0.00055006,-0.00360288,-0.00708144,0.0
2017-44,0.002079,-0.00443727,0.0,0.00560287,0.00152964,0.00129199,0.0,0.0,0.00169033,0.00078156,-0.00219599,0.00773616,0.0,0.00554236
2017-43,-0.01438849,0.01035857,-0.00111607,0.00134258,0.0,0.00356333,0.00789364,0.00028401,0.00033875,-0.00117325,-0.00164069,0.0012285,-0.02418559,0.00584174
2017-42,0.00103466,-0.00796813,-0.00111441,-0.00111782,-0.00152788,0.00389484,0.02085106,-0.00592885,-0.00101488,-0.00039078,0.00467804,-0.00648824,0.0,-0.00132591
2017-41,0.0057232,-0.00396825,0.00260708,0.00269119,0.00115252,0.00619902,0.0,0.0,0.00339559,0.00392003,-0.00574555,0.01692816,-0.00049334,0.00482186
2017-40,-0.00104167,0.0,0.00074516,0.00337458,0.00502707,-0.00517464,0.00042571,0.00283126,0.00374787,0.00117786,-0.00299564,-0.00247423,-0.0136253,-0.00107152
2017-39,-0.02145046,0.00961538,-0.00111857,0.00270758,-0.0007728,-0.00064872,0.00213311,-0.00225989,0.00239316,0.00353357,-0.00027233,-0.00776778,0.0347432,-0.0053135
2017-38,-0.00958144,0.00281124,-0.00148865,0.00271125,0.0007734,-0.00518303,0.02582057,-0.00673401,0.00034153,-0.00078647,0.00110011,-0.00164541,-0.01585728,0.00508293
2017-37,-0.00843254,0.02579853,-0.00185667,-0.0002265,0.00116279,0.0035819,-0.00738488,0.00224341,-0.00068259,-0.00117832,0.00137855,0.00453795,0.0025227,-0.00426667
2017-36,0.00597907,-0.02241793,0.0,-0.00136147,-0.00038805,-0.00130293,0.0,0.00196684,0.00102775,0.00039308,0.00219962,0.00957137,0.0010101,0.00401177
2017-35,-0.01385453,0.00080128,0.00149031,0.00113714,0.00428683,0.00327547,0.00558179,0.0036661,0.00653145,-0.00039386,-0.00602575,0.01176965,0.00507614,0.00133761
2017-34,-0.0155642,-0.00240481,0.00074516,0.00457143,0.00390625,0.00427491,0.00735294,-0.00254094,0.0024113,0.00236967,-0.00027382,0.01449893,-0.0010142,0.0045491
2017-33,0.01085884,-0.00517516,-0.0018615,-0.00137018,-0.00077973,-0.00394089,0.0,0.00542547,-0.00068894,-0.00197083,-0.0008235,-0.00424268,0.0,0.00457851
2017-32,0.01097257,-0.00078895,0.00186846,-0.00929916,-0.00389257,-0.00262037,0.0,-0.00906002,-0.00856458,-0.00314713,0.00191676,-0.01424979,-0.00298954,-0.00295064
2017-31,0.00804424,0.0090981,-0.00149142,-0.00113636,0.00195008,-0.00810898,0.00921457,0.0,0.00068658,0.0,-0.0019084,-0.00544389,0.0,-0.00053619
2017-30,0.00506073,-0.02345582,0.00037341,-0.0011343,0.00039017,0.00454989,0.0,0.00369318,0.00206256,-0.00039324,0.0,0.01409052,0.00587372,-0.00639488
2017-29,0.00253421,-0.00547089,0.00224551,-0.00203851,0.00195618,-0.00130166,-0.00998697,-0.0025503,0.00309704,0.00236686,-0.00301452,0.00428082,0.00097943,-0.00345377
2017-28,-0.00757193,-0.0150347,0.00375657,0.00776433,0.00787712,-0.00194868,0.02629234,0.0,0.00692042,0.00197394,-0.0032769,0.01434159,0.00048996,-0.00026582
2017-27,-0.00451581,-0.01052632,0.0,-0.00364548,-0.00470404,0.00129997,0.0,0.0,-0.00207756,-0.00118343,0.00054496,-0.01637931,-0.00244738,0.00346205
2017-26,-0.01531621,0.02777778,-0.00261976,-0.00544465,0.0,0.00490356,-0.00221828,0.01312785,-0.00654045,0.0,0.0,0.0104941,0.0,-0.01050972
2017-25,0.00247647,0.00598325,-0.00074822,-0.00295993,0.00078585,0.00327976,-0.00392328,0.0,-0.00068966,-0.00039463,-0.00599782,-0.00608431,-0.00587084,0.00555703
2017-24,0.01501502,-0.01960784,-0.00224299,-0.0022779,-0.00156924,0.00065833,0.0,0.0,-0.00034614,-0.00039463,-0.00298994,-0.00733391,0.0,-0.00369101
2017-23,-0.02347188,-0.02688391,0.00037425,-0.00182108,-0.00078401,-0.00263071,-0.00086881,-0.00369213,0.00103806,0.0011839,0.0071311,0.00172414,-0.00097752,-0.00811306
2017-22,-0.0048852,-0.02926058,0.00187336,0.00319708,0.00512821,0.00529276,-0.0004363,0.0,0.0069541,0.00078864,-0.0010917,-0.001287,-0.01396245,0.00393494
2017-21,0.0109127,0.0,0.00037509,0.00274474,0.00157978,0.0,0.01281485,0.0,0.0034904,0.00078989,-0.00408163,-0.00806109,0.0,0.0002611
2017-20,0.01413428,0.0,0.00225649,-0.00228206,0.00197863,0.00199137,-0.00220459,0.0,-0.00382609,0.00197707,0.00135685,0.0137931,-0.01849218,-0.00803317
2017-19,0.00554715,0.0,-0.00037594,0.0016022,0.00517104,0.0,0.00665484,0.0,0.0027972,-0.00039557,-0.00135281,0.00609756,0.0,0.00467532
