Month,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2016-01,0.09095307,-0.00750313,-0.00733308,-0.01546267,-0.00585284,-0.00427198,0.03164787,-0.00788955,-0.01077586,0.00651466,-0.0099892,-0.02421308,-0.0346901,-0.01651467
2015-12,0.03154732,-0.03654618,-0.00307811,-0.01042901,-0.0110883,0.01928675,0.00254083,0.01661415,-0.01585624,-0.00686591,-0.00135391,-0.03970452,-0.04217138,-0.00296516
2015-11,0.00150754,-0.05490982,-0.00421617,-0.00071107,-0.0012366,0.00219861,0.0078264,-0.02075736,-0.00493653,-0.00121163,-0.00378685,-0.03027564,-0.00668449,0.01977967
2015-10,-0.05061495,-0.00834658,0.01641908,0.0260214,0.01338352,-0.00292505,-0.01547319,0.01364412,0.00781528,0.00202347,-0.0013624,0.04304636,-0.02568568,-0.00573137
2015-09,0.03318692,-0.02614124,-0.00272904,-0.00194175,-0.00250313,-0.01539012,0.04263139,-0.01731844,-0.00565571,0.0052356,-0.0021575,-0.01724942,-0.03406224,-0.00124813
2015-08,0.03142423,-0.0020202,-0.01419256,-0.02343567,-0.01678264,0.0,0.03434967,0.00816671,-0.01594454,-0.00559552,0.01421542,-0.03214443,0.0160451,-0.00125786
2015-07,0.02372357,-0.01489612,0.0034642,0.00445696,-0.00970874,-0.01159522,0.04307568,0.00254094,-0.00034614,0.00080096,-0.03777545,-0.04060276,-0.05762158,-0.03144041
2015-06,-0.01823867,-0.00769527,-0.00421456,-0.00906134,-0.01435407,-0.0118302,-0.00240964,-0.00756514,-0.01432958,-0.00715137,0.00210582,-0.01881391,0.00575421,-0.02760085
2015-05,0.01377848,-0.03107238,0.00153492,0.00233046,0.00239712,0.00243902,0.02225886,-0.00221914,-0.0023842,-0.00238095,-0.0049402,-0.01994416,-0.01378192,0.0056872
2015-04,-0.04045954,-0.00276243,0.00537634,0.00398126,0.00599281,0.00069832,-0.03996834,-0.0019439,0.00308114,0.0,0.00759162,0.02717168,0.0,-0.01080066
2015-03,0.0,-0.03429878,-0.00573614,0.00023386,-0.00160192,0.00457746,0.05072765,0.0008338,-0.00442629,0.00158416,0.00131961,-0.03212851,0.03135452,0.01664685
2015-02,-0.04484733,0.02843787,0.00657386,0.02125119,-0.00039984,0.01648155,-0.05314961,0.00474728,0.0152513,0.00838658,-0.00497122,0.01788618,0.00532133,-0.01871345
2015-01,0.07548126,-0.04927212,0.00697404,0.00263347,0.0,0.00941688,0.0125,0.00448682,-0.0108278,0.00480962,-0.02871665,-0.00653061,0.01706911,0.01425178
2014-12,0.02952953,-0.00298174,0.02076125,-0.00023832,-0.00792393,0.0007249,-0.02649007,0.00141884,-0.00760719,-0.00517722,0.01209781,-0.02971474,0.03950193,-0.00661157
2014-11,0.02356557,0.00408922,0.00422589,0.0078853,0.00039479,0.01614087,0.02693603,-0.00676437,0.01254793,0.01127214,0.00517598,-0.01826661,-0.00605816,0.01313903
2014-10,0.0,-0.02173126,0.00969744,0.01525793,0.00673801,0.00257922,-0.01989444,-0.01482932,0.00985222,-0.00160256,-0.00768836,0.00737005,0.02736318,-0.00996678
2014-09,0.01413613,-0.0103831,-0.00958589,-0.01540284,-0.02320186,-0.00767824,0.01304714,0.00675105,-0.01515673,-0.00676482,-0.01363981,-0.06109906,-0.01743956,0.03084455
2014-08,-0.02897814,-0.00746269,0.01045701,0.01175906,0.00660707,-0.00655499,0.01401869,0.01273345,0.02,0.01043339,-0.0040282,0.01346434,0.00440705,0.00073746
2014-07,0.02456874,0.00571837,-0.00538462,-0.00925486,-0.02501895,-0.0130246,-0.03755493,-0.0109152,-0.01688491,-0.01775148,0.01532959,-0.0233463,-0.03067961,0.00569871
2014-06,-0.01442555,-0.01825202,0.00619435,0.00840942,0.01049767,0.01587302,0.00524405,-0.00167457,0.01084295,0.00198098,-0.00708323,0.0329429,0.02032682,0.01792024
2014-05,-0.00205339,0.00885269,0.0062281,0.0057999,0.00742478,-0.00221811,0.00121902,-0.00499861,0.01273435,0.00477707,-0.01150288,0.00774622,-0.00078802,0.00151515
2014-04,0.02302459,0.04695525,0.00273331,0.00048344,-0.00428683,-0.00295858,-0.02864992,-0.00110957,-0.00035411,0.00079936,0.02054795,0.02566038,-0.02384615,0.01316123
2014-03,0.0285253,0.04886495,0.0031348,0.00903541,0.00708104,0.00148588,-0.0365575,0.00698324,-0.00177242,-0.0027933,0.03829006,0.00991609,-0.00230238,0.00176857
