Month,ADRE,BBRC,BICK,BKF,DBEM,DEM,DGS,DVYE,EDC,EDIV,EDZ,EEB,EELV,EEM,EEMO,EEMS,EET,EEV,EMIF,EUM,EWEM,EWX,FEM,FEMS,HILO,IEMG,PIE,PXH,SCHE,SPEM,TLTE,VWO
2018-07,0.04563591,0.05896958,0.02799849,0.03176931,0.02866099,0.06497931,0.03241244,0.05329405,0.12615385,0.05737158,-0.13011864,0.03729203,0.06408021,0.04565886,0.02237001,0.03275862,0.08308017,-0.08753486,0.05738304,-0.04356955,0.0497273,0.02695066,0.04735152,0.03960129,0.06968125,0.04258242,0.00462012,0.07007007,0.05377207,0.04966599,0.04014599,0.05134474
2018-06,-0.04773157,-0.03556609,-0.05265005,-0.0589038,-0.03719538,-0.05863636,-0.07238552,-0.03974522,-0.1722716,-0.06930693,0.18323996,-0.04634678,-0.04268545,-0.05865491,-0.05568054,-0.08603199,-0.11438693,0.11914685,-0.06315434,0.05902192,-0.04090354,-0.05727051,-0.06774669,-0.06491228,-0.04230236,-0.05705925,-0.06593407,-0.04983545,-0.05332332,-0.05091206,-0.0711775,-0.05851548
2018-05,-0.03022553,-0.06288602,-0.03583618,-0.00820232,-0.01025641,-0.01361162,-0.00481444,-0.00257268,-0.07198306,-0.02947432,0.05547653,-0.00628244,-0.01787165,-0.0214442,0.00690449,-0.00769383,-0.04945422,0.03689946,-0.02695595,0.02037351,-0.05750146,-0.003861,-0.01894353,-0.00771912,-0.01771117,-0.0186865,0.03095357,-0.04,-0.02407407,-0.02342488,-0.02052531,-0.01786522
2018-04,0.00749941,-0.01546107,-0.01143241,-0.00766629,0.01426719,-0.01511111,-0.01724138,-0.03064755,-0.0387571,-0.02148955,0.02414983,-0.00108903,0.00973236,-0.0103426,-0.01903695,-0.00117417,-0.02012116,0.01626843,-0.01159794,0.01033889,0.01405564,-0.01097366,-0.01461155,-0.03786086,-0.01982816,-0.00788389,-0.01267674,-0.01469933,-0.01167031,-0.01429328,-0.00120523,-0.01331262
2018-03,-0.0025097,-0.00163666,-0.00098652,-0.00833516,0.00042301,0.01172048,0.00757429,-0.00243309,0.00316882,0.00496061,-0.80855721,-0.01629007,0.0149919,0.0074611,0.01210121,0.00504071,0.00429544,-0.02542373,-0.0050537,-0.01041667,-0.00260492,0.00118017,-0.00070472,0.00370971,-0.00645578,0.00833186,0.01359223,-0.00218627,-0.00249822,-0.00672008,0.00661914,-0.00174596
2018-02,-0.04905741,-0.01918977,-0.03775351,-0.05006258,-0.04945718,-0.03677721,-0.03773231,-0.0334275,-0.15412234,-0.00203725,0.09644447,-0.03624465,-0.0392233,-0.04607266,-0.04747001,-0.05080066,-0.10113519,0.06839493,-0.04268109,0.03857746,-0.04358621,-0.04014391,-0.03533809,-0.04102219,-0.02685821,-0.04534687,-0.02712994,-0.04257095,-0.04461853,-0.03920596,-0.0494382,-0.04461122
2018-01,0.08193711,0.05929304,0.05335968,0.0912132,0.04819782,0.0753643,0.05683837,0.06009975,0.18991188,0.07425897,-0.16880838,0.07681977,0.05564648,0.06299213,0.04399142,0.049108,0.12366475,-0.1168084,0.01900674,-0.05807936,0.05252407,0.03936545,0.07784649,0.06485207,0.04020752,0.05930253,0.05106594,0.08914027,0.07664497,0.06554798,0.05198312,0.06721022
2017-12,0.02595827,0.03657074,0.02892994,0.03323837,0.03171806,0.05417881,0.06147975,0.03357817,0.12661779,0.06780799,-0.11953146,0.03606182,0.04701785,0.04343891,0.03312393,0.0481316,0.08390233,-0.08335171,0.02755527,-0.0420939,0.05941213,0.04996877,0.04854369,0.06719672,0.04398625,0.04290553,0.0293966,0.05046094,0.04694113,0.04130617,0.0391771,0.0471831
2017-11,-0.01637011,0.02452483,-0.0051957,-0.00233481,-0.01251618,-0.0055435,-0.00105686,-0.01365276,-0.03108318,0.01292078,0.01707317,-0.01732327,-0.00562771,-0.00891862,-0.01007839,0.00980993,-0.01925229,0.01355932,-0.03118179,0.00765864,-0.018683,0.00309981,-0.02152568,-0.04006883,0.00068776,-0.00428385,0.03858351,-0.0110206,-0.0030453,0.0,-0.00300938,-0.00577768
2017-10,0.01770126,-0.00915192,0.00526131,0.02480732,0.02761693,0.01420872,0.00683469,0.00752465,0.0912217,0.00068283,-0.09482291,0.0169006,0.01094092,0.03239241,0.05225653,0.02681588,0.06150698,-0.06446212,0.00619387,-0.03057459,0.00931966,0.02415766,-0.00301318,0.008953,0.0248227,0.0320897,0.02393906,0.01413255,0.02385608,0.02708096,0.03041407,0.02347641
