Month,ADRD,ADRU,DBGR,DFE,EDEN,EFNL,EIRL,ENOR,EPV,EUFN,EWD,EWG,EWGS,EWI,EWK,EWL,EWN,EWO,EWP,EWQ,EWU,EWUS,EZU,FDD,FEP,FEU,FEZ,FGM,FKU,FSZ,GREK,GXF,HEDJ,IEUS,IEV,NORW,UPV,VGK
2017-03,0.01081917,0.0164806,0.01993745,0.0280112,0.0283729,0.03148615,0.00645661,-0.03113383,-0.0669105,0.03732591,0.02708407,0.02998501,0.042359,0.07142857,0.03613054,0.02208096,0.04032258,0.02325581,0.0915681,0.05014505,0.01529052,0.01979321,0.0458796,0.02144772,0.03279786,0.03684573,0.04782211,0.02427839,0.02324851,0.02559242,0.00794702,0.01990317,0.03551724,0.02679382,0.03151862,-0.02532833,0.06489525,0.03332621
2017-02,0.01372756,0.02369146,0.01292929,-0.00318531,-0.0175606,0.00255836,0.01006356,-0.03743798,-0.0052356,-0.03514552,-0.01233263,-0.0030326,0.0078853,-0.00314465,-0.00235571,0.00987402,0.0272651,-0.01674641,-0.00155461,-0.00626043,0.00999655,0.00178359,0.00029682,0.00180343,-0.00438449,0.00630694,0.00217256,-0.00136761,-0.00094907,0.01481302,0.00958904,-0.01342642,0.03359971,0.0043618,0.00317209,-0.03727273,0.00688924,0.00281446
2017-01,0.01396348,0.01391982,0.00203749,0.03540689,0.05112599,0.00290604,0.02852441,0.04506232,-0.051884,0.01805869,0.05418535,0.03789972,0.05088161,-0.03089643,0.01625527,0.03929204,0.02408602,0.03974763,0.02375297,0.01442512,0.02050194,0.0373599,0.01908513,-0.00361991,0.04069356,0.01899642,0.01452479,0.04232199,0.03171457,0.04090447,-0.05729167,0.04171364,-0.01171593,0.03499521,0.02417821,0.04339441,0.05037573,0.02606952
2016-12,0.0381808,0.04161782,0.08894879,0.0518595,0.04943291,0.04826649,0.04165478,0.01773399,-0.09674009,0.05018138,0.04771293,0.07336726,0.05144524,0.11160059,0.04140527,0.04607952,0.05015816,0.02697368,0.07685665,0.05503356,0.03374908,0.00692259,0.06673145,0.05480769,0.0375829,0.05786068,0.07191316,0.06113139,0.02767465,0.02954248,0.00948509,0.05056514,0.08341569,0.05040323,0.05334098,0.01992032,0.0950046,0.05098684
2016-11,0.0,-0.00699301,0.00848593,-0.02111246,-0.06170128,-0.02621971,0.01148765,0.0,0.03855333,0.02119701,0.00236593,-0.03418803,-0.05592841,-0.0264805,-0.0405486,-0.0259086,-0.03414002,-0.01750973,-0.0778754,-0.020605,0.00516987,0.02,-0.03456867,-0.01415094,-0.00912742,-0.02042332,-0.03115776,-0.04946793,0.00370246,-0.00671835,0.10565476,-0.02434783,0.00137013,-0.02046856,-0.02047686,-0.00601805,-0.06262568,-0.01932367
2016-10,-0.02877307,-0.032493,0.01338688,-0.03840905,-0.04258526,-0.0674505,-0.04911805,-0.00742207,0.06587771,0.03917791,-0.05631715,-0.0096,-0.03482824,0.03097345,-0.04542873,-0.04810997,-0.02145562,0.00912647,0.02817477,-0.00174292,-0.0523195,-0.08230088,-0.00615764,-0.02125693,-0.03092059,-0.03080229,-0.0022779,-0.01847704,-0.07089319,-0.0315179,0.01037037,-0.06019523,0.01056131,-0.05946321,-0.03032765,-0.00895522,-0.05381897,-0.03322259
2016-09,0.00054025,-0.00612472,-0.00133215,0.00353288,-0.01893382,0.02217295,-0.03337714,0.06082853,-0.00961727,-0.0225,0.01204819,-0.00119379,0.01636189,-0.0307474,0.02905288,0.00969193,0.00210438,0.02811245,-0.00040634,0.0021777,-0.00173974,-0.01200234,0.0,-0.00641026,0.00352485,-0.00178317,-0.00419761,0.0,-0.02386051,0.02555498,-0.04131054,-0.00591716,-0.00039108,0.01151045,0.00054098,0.06137566,0.00325821,0.0
2016-08,0.01206802,0.01012943,0.02825889,0.02073592,-0.01185915,0.01958864,0.05610098,0.02746365,-0.03634669,0.08304736,0.02922837,0.02580909,0.01150833,0.03195674,0.01668653,0.00383142,0.04056437,0.0455516,0.02617138,0.00753212,0.02182469,0.03784119,0.02243995,0.0111836,0.02370532,0.00865489,0.02223697,0.01306076,0.02449109,0.01445087,0.00291121,-0.01122394,0.02575971,0.01917476,0.01575021,0.02605863,0.04813754,0.01768307
2016-07,0.03076063,0.02096317,0.0587103,0.06050955,0.02592316,0.04102219,0.03350515,-0.00682057,-0.0698744,0.04283708,0.02047244,0.06334056,0.061837,0.03379722,0.02340936,0.01370344,0.04236902,0.06971514,0.05104712,0.04633028,0.01472701,0.0409264,0.04782181,0.00743494,0.04490566,0.02074991,0.04589041,0.0502677,0.0382603,0.01758593,0.06666667,0.01886792,0.04777801,0.05055612,0.03071288,-0.01052632,0.06692445,0.03337196
2016-06,-0.01929438,-0.03026906,-0.04381919,-0.09988497,-0.0494908,-0.0027137,-0.1136885,-0.01296008,0.02362063,-0.12804878,-0.03583683,-0.05080545,-0.05610236,-0.08939052,-0.03482298,-0.00805886,-0.06226013,-0.05524079,-0.08176353,-0.05015264,-0.0292887,-0.11448664,-0.05422993,-0.02459016,-0.06281228,-0.02065527,-0.0549806,-0.04954181,-0.12018401,-0.03046082,-0.1514393,-0.0386423,-0.03445497,-0.08536869,-0.03138646,-0.01869159,-0.10533369,-0.03945609
