Month,ECON,FXG,IYK,KXI,PBJ,PSCC,PSL,RHS,SZK,UGE,VDC,XLP
2015-04,0.00731332,-0.02437276,-0.00259821,0.00980861,-0.03226847,-0.03542393,-0.04566474,-0.01144578,-0.00893898,0.00550696,-0.01139851,-0.00865998
2015-03,0.00906583,-0.00992439,-0.02053054,-0.02915112,0.02929427,0.00882872,0.00445046,-0.01179386,0.45728929,-0.03662228,-0.0150272,-0.02121483
2015-02,0.02436102,0.05484598,0.0378836,0.02462936,0.03711412,0.02543913,0.05078523,0.03899721,-0.33980583,0.10711841,0.02947725,0.02924246
2015-01,0.02774327,0.0045535,-0.01552434,0.02245805,-0.00931677,-0.03456356,0.01602497,0.00031404,0.03168636,-0.03018242,-0.00831917,-0.00671141
2014-12,-0.03651355,0.00683026,-0.00863953,-0.02278724,0.00519031,0.04016064,0.01498127,-0.00114464,-0.25361736,0.00867888,0.00249554,-0.00276116
2014-11,-0.00153846,0.04574132,0.04477773,0.04054726,0.0387349,-0.00198295,0.03106383,0.04225959,-0.08078292,0.10127895,0.04744661,0.05142994
2014-10,0.06361426,0.04993065,0.04067147,0.03353815,0.0575188,0.06867317,0.05337838,0.04366516,-0.07388205,0.07577454,0.04347403,0.04198089
2014-09,-0.07377352,-0.01059207,-0.01499614,-0.01962245,-0.01571637,-0.00954753,-0.00922874,-0.00190157,-0.00536733,-0.02490076,0.00358805,0.00552625
2014-08,0.0141527,0.03903819,0.04803797,0.02708227,0.07359307,0.07075683,0.07186907,0.0479267,-0.0878213,0.10003939,0.03949622,0.03835116
2014-07,-0.00560119,-0.05649718,-0.04229742,-0.03937008,-0.04135053,-0.0715627,-0.05278592,-0.04575754,0.09021811,-0.08640636,-0.03827377,-0.03549696
2014-06,0.0219484,0.01898734,0.0105156,0.00347395,0.01275609,0.01741935,0.04093706,0.00695712,-0.00766773,0.03317,0.0023578,0.0
2014-05,0.02370605,0.06758742,0.02250173,0.01740666,0.02848101,0.01482774,0.0337904,0.03026393,-0.05266344,0.02416571,0.02109789,0.01911651
2014-04,-0.0163297,0.00176523,0.01166725,0.03341164,-0.02045542,-0.02044257,-0.04720729,0.01446012,-0.05757663,0.02333065,0.02625372,0.02921647
2014-03,0.0509106,0.01524664,0.01923996,0.02730924,0.03648757,0.05107706,0.01289398,0.02582846,-0.02267637,0.05444492,0.02889076,0.02752044
