Month,AADR,COPX,ECON,EDC,EEM,EEMS,FAN,FLN,FM,FONE,FPA,GDXJ,HILO,ICLN,IEMG,KOL,LIT,PBD,PICK,SIL,SLVP,SLX,SOCL,SOIL,TLTE
2018-03,-0.00948992,-0.03908918,-0.0335422,0.00316882,0.0074611,0.00504071,0.03174603,-0.00278035,0.02146312,0.00425203,0.0,0.0078765,-0.00645578,0.02428256,0.00833186,-0.08555487,-0.01681443,-0.00236407,-0.03719256,0.03336738,0.03166496,-0.08004269,-0.04471433,-0.02295409,0.00661914
2018-02,-0.02623057,-0.03564933,-0.04730203,-0.15412234,-0.04607266,-0.05080066,-0.03706505,-0.03325843,-0.02613803,-0.00602523,-0.02574637,-0.06692561,-0.02685821,-0.01724138,-0.04534687,-0.04540094,-0.0725403,-0.03536494,-0.04487722,-0.08375157,-0.08552632,-0.00771208,0.00715465,-0.03636364,-0.0494382
2018-01,0.03517839,0.00073153,0.01591793,0.18991188,0.06299213,0.049108,0.03166023,0.09752475,0.04681244,0.03215808,0.0422978,-0.04146411,0.04020752,0.01084599,0.05930253,0.1116917,-0.05376066,0.02223926,0.0301434,-0.03797468,-0.03996367,0.03561095,0.05405405,-0.00190658,0.05198312
2017-12,0.06166123,0.13254036,0.03109959,0.12661779,0.04343891,0.0481316,0.04560261,-0.01694071,0.01886189,0.00564972,0.02420307,0.07502374,0.04398625,0.05458769,0.04290553,0.07808023,0.01204819,0.0311253,0.11349899,0.05083089,0.06039604,0.11065363,0.03486181,0.04444444,0.0391771
2017-11,-0.02805541,-0.0570969,0.00815117,-0.03108318,-0.00891862,0.00980993,-0.03971963,-0.03734239,0.02500823,0.01235536,-0.00583601,-0.0143975,0.00068776,-0.0419426,-0.00428385,0.00948213,0.00079702,-0.01023622,-0.02392658,-0.0318612,-0.03188406,-0.00867568,-0.00092507,-0.02366864,-0.00300938
2017-10,0.03144768,0.01951827,-0.00661521,0.0912217,0.03239241,0.02681588,0.00234009,-0.0367784,-0.00132626,0.0204,0.02963642,-0.04816034,0.0248227,0.03068182,0.0320897,0.02661597,0.04075323,0.01764234,0.01387949,-0.03329261,-0.04722222,-0.00715198,0.03364306,0.0110999,0.03041407
2017-09,0.0444823,-0.0816641,-0.00220345,-0.02929143,-0.00757924,-0.0094677,0.00472069,0.01471286,0.02512909,0.01103166,-0.01450151,-0.07346826,-0.0049505,-0.0190583,-0.00672301,-0.05654975,0.09448575,0.03962901,-0.04723127,-0.0610775,-0.06643357,-0.03225,0.00945858,0.06344086,-0.0068978
2017-08,0.05442039,0.05045492,-0.00184366,0.05304243,0.02030217,0.01642178,0.00551181,0.12135922,0.03705036,0.00810811,-0.00030294,0.07551693,0.03362573,0.0206422,0.01811737,0.04150943,0.08706043,-0.00336134,0.05536212,0.02125148,0.03451408,0.05100671,0.04098361,-0.03075292,0.02430815
2017-07,0.0512216,0.18700787,0.04205247,0.15702576,0.05206776,0.03541807,0.01758593,0.08142941,0.01643535,0.01029196,0.04029188,0.04498594,0.03247734,0.04939759,0.05030139,0.08244023,0.06295488,0.02852204,0.10445469,0.04846626,0.04229323,0.05270496,0.05565595,0.03846154,0.0427116
2017-06,-0.01613246,0.03762887,-0.0322944,0.00130517,0.00075226,0.00996602,-0.02808112,-0.02021953,-0.00766983,-0.0171346,-0.00378072,0.06544755,0.00380807,0.0,0.00251151,0.03633218,-0.02870305,0.01760563,0.03240178,-0.02979462,-0.01261261,0.0502677,-0.01588983,-0.00441501,0.00275211
2017-05,0.00235647,-0.0619255,0.03379175,0.05560573,0.02249806,-0.01330927,0.02815768,-0.02324263,0.01002599,0.05175439,0.05913978,0.00320821,-0.00532319,0.01602959,0.01849462,-0.07481899,0.03683241,0.02359347,-0.02839117,0.03098927,0.03255814,-0.0427838,0.05882353,-0.00221239,0.01303389
2017-04,0.01368078,-0.0460251,0.02763104,0.02940383,0.01130984,0.00272727,0.03946264,-0.05360043,0.01999246,0.00885347,-0.00838364,-0.12019759,0.01004637,-0.00863132,0.01246992,-0.02753737,0.01727375,0.0233209,-0.02692308,-0.04142341,-0.05121528,-0.05087051,0.06382114,0.00221239,0.00704367
2017-03,0.01520829,-0.08308479,0.01744911,0.05542658,0.02079395,0.02702068,0.02401372,-0.03426463,0.01673803,0.0363678,0.02495726,-0.04381512,0.01573564,-0.01575758,0.02044484,0.03130148,0.06498195,0.00652985,-0.05186797,-0.02707137,-0.0239521,-0.08793103,0.01033485,0.0,0.01812938
2017-02,0.0100365,-0.06757877,0.0237581,0.04740764,0.01673173,0.04303735,-0.00431779,0.03553581,-0.03526735,0.03484487,0.03479197,-0.02983892,0.01607717,0.03026482,0.01904762,-0.00250627,-0.02851485,0.03288201,-0.04494786,-0.05718783,-0.06168831,0.02932705,0.02361529,-0.04766949,0.02260128
2017-01,0.07204328,0.19706923,0.03891403,0.16274764,0.05411765,0.04672897,0.03880866,0.08137432,0.09704641,0.04551138,0.0519136,0.12279653,0.04107293,0.03571429,0.05419323,0.06171735,0.07090987,0.01980198,0.12168232,0.12697938,0.133829,0.06075028,0.08186047,0.06590909,0.05177848
2016-12,0.01174668,-0.05885238,0.01110597,0.01340326,0.00931211,0.0002613,0.01563937,0.05160899,0.00214133,0.03455285,-0.00913938,-0.02967543,0.01986183,0.00666667,0.00623597,-0.05128205,0.01275847,0.02451481,-0.03697749,-0.03557312,-0.01915709,-0.03454039,-0.0331216,0.05035971,0.00390266
2016-11,-0.00718355,0.21509886,-0.06678009,-0.11717842,-0.03632723,-0.03444833,-0.06089194,-0.04769828,-0.01023018,0.00871348,-0.03247232,-0.18337531,-0.06335204,-0.07125307,-0.03313468,-0.02164863,0.03268271,-0.01197605,0.11437613,-0.17332667,-0.17384495,0.21034946,-0.01224311,0.02096178,-0.02564674
2016-10,0.02701351,0.04824561,-0.02487765,-0.05137249,-0.01509223,-0.01909596,-0.02081599,0.08279883,-0.03399668,-0.01421092,-0.05123736,-0.06564551,-0.00393701,-0.03364269,-0.01604651,0.1011236,-0.02067752,-0.04519774,0.03529958,-0.0759343,-0.07318895,0.06831858,-0.07741421,-0.00367197,-0.00681169
2016-09,0.00908632,0.05193951,0.00123558,0.03864264,0.0174635,0.02449283,0.00503778,-0.02215743,0.04093063,0.02139037,0.02464286,0.0123397,0.01291364,-0.00692042,0.01907032,0.11733615,-0.00043802,0.0113852,0.07267297,0.00047114,0.01116071,0.03677823,0.05567361,-0.03900709,0.02225219
2016-08,-0.01053424,-0.07352941,0.00083126,0.02968777,0.01079032,0.01076615,0.01975945,0.09974425,-0.02309666,0.01272397,-0.00997506,-0.18000416,-0.0039968,0.00582072,0.01215953,-0.0010582,-0.00788436,0.00381679,-0.02544031,-0.16541658,-0.14725131,-0.05720265,0.07455131,0.06415094,0.01348263
2016-07,0.02996642,0.10888444,0.05463287,0.13002681,0.04374241,0.03242409,0.03359859,0.11134308,0.00297366,0.06880223,0.06935976,0.10333567,0.0425,0.03631961,0.04302708,0.11910377,-0.00518135,0.03670635,0.09787234,0.10713472,0.11681548,0.13436893,0.04932302,0.02022756,0.04359219
2016-06,0.01109057,0.05984138,0.04409738,0.11551951,0.04621309,0.02365763,0.02268603,0.15032154,-0.01790281,0.0041806,0.03301512,0.26223338,0.06571936,0.00609013,0.0433626,0.15384615,0.01717305,-0.02415459,0.06107306,0.30761935,0.29489796,0.10537919,0.05265849,-0.03970223,0.0472006
2016-05,-0.0052521,-0.14883149,-0.02247191,-0.10806075,-0.03437597,-0.02704811,0.01489758,-0.10905203,0.0211298,0.02816092,-0.03733333,-0.10909598,-0.04003407,-0.03823178,-0.0319423,-0.08418367,0.06353722,-0.01825168,-0.13469985,-0.07530648,-0.10564663,-0.15867707,0.06456864,-0.04245283,-0.03606875
