Week,CBND,CORP,GSY,IGIB,IGSB,LQD,PFIG,QLTA,SPIB,SPLB,USIG,VCIT,VCLT,VCSH
2016-40,-0.00133735,-0.00236845,0.00063358,-0.0017755,-0.00040445,-0.00321773,-0.00412031,-0.00666263,-0.00121249,-0.00514241,-0.00389408,-0.00294623,-0.00566639,-0.00079766
2016-39,0.00267023,0.0003076,0.00042248,0.0,-0.00020202,0.00089206,-0.00164609,0.00100827,0.00030175,0.00039355,-0.00038865,0.00012261,0.00318321,-0.00039851
2016-38,0.00100435,0.00828072,0.0,0.00336367,0.00020214,0.0097429,0.00330579,0.00752798,0.00363857,0.02008839,0.00883566,0.00568744,0.01744046,0.00093085
2016-37,-0.00167729,-0.00361458,0.00105731,0.0,0.00020214,-0.00081103,-0.00165563,-0.00243902,0.0,-0.00598325,-0.00235064,0.00012366,-0.00275515,0.00013293
2016-36,-0.00466045,-0.00970576,-0.00021142,-0.00531287,-0.00121163,-0.01587583,-0.00575421,-0.01084555,-0.00723545,-0.02687963,-0.01046512,-0.01028152,-0.02426729,-0.00265217
2016-35,-0.00366057,-0.00173664,0.0008462,-0.00333988,0.00060643,-0.00345898,0.00123967,-0.00520521,-0.00361555,-0.00815851,-0.00560062,-0.000859,-0.0080429,0.0009306
2016-34,-0.00199667,-0.00398895,0.0002116,-0.00078663,-0.00101031,-0.0036438,-0.00534759,-0.00360794,-0.00241327,-0.00352113,-0.00348162,-0.00416769,-0.0051462,-0.0011949
2016-33,-0.00033378,-0.00163985,0.00063519,0.0,-0.00040388,0.00044607,-0.00288541,-0.00080451,-0.00060314,0.00197316,-0.00038797,0.00086111,0.00094151,0.00026567
2016-32,0.00469169,0.00679502,0.00063559,0.00335504,0.00141557,0.00997036,0.00413394,0.00645291,0.00332527,0.01154459,0.00820312,0.00667078,0.01461849,0.00279478
2016-31,-0.0033456,-0.00348754,0.00063586,-0.00157604,0.0002021,-0.00411744,-0.00123916,-0.00381679,-0.00151057,-0.00754268,-0.00272692,-0.00442641,-0.00932483,-0.0005322
