Month,BBH,BIB,BIS,CURE,FBT,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,VHT,XBI,XHE,XHS,XLV,XPH
2018-03,0.01080442,-0.01024627,-0.00803783,-0.05301686,-0.00105232,-0.00701102,-0.00280741,0.00281903,-0.01133329,0.02721656,-0.00383772,-0.00941796,-0.0224429,-0.00579337,0.00054152,0.05994291,0.00026264,0.01902537,-0.01567543,-0.00100626,-0.00880131,-0.01936639,0.05177358,0.01013025,-0.01342199,0.01489258
2018-02,-0.06760629,-0.10905091,0.09330522,-0.14764134,-0.04805928,-0.03904672,-0.05176202,-0.05085399,-0.0303769,-0.0378052,-0.04460134,-0.04576672,-0.02310042,-0.07146021,-0.06296727,-0.03781059,-0.02420575,0.05370651,-0.0922565,-0.03762511,-0.04318772,-0.03468579,-0.03091301,-0.03256734,-0.04523369,-0.07922339
2018-01,0.01565327,0.08174711,-0.08674699,0.15918112,0.10428437,0.04584568,0.04333089,0.00708068,0.05813112,0.08480264,0.04597701,0.05366052,0.07840298,0.03329736,0.01972454,0.10303152,0.0826696,-0.09841055,0.10971364,0.06016701,0.05469516,0.07067341,0.06433824,0.06468222,0.05365199,0.0125743
2017-12,-0.00441661,0.02242888,-0.02538976,-0.01806205,-0.00804268,0.00561879,0.01129032,0.00582049,0.0080289,-0.01631238,-0.00181192,-0.00455528,0.02566333,0.00890019,0.03322615,0.00994362,0.01478457,0.00100334,-0.00768014,0.00365538,-0.00382283,0.01778632,-0.0189082,0.02350784,-0.00344065,0.01219226
2017-11,-0.00431862,0.02019069,-0.02586207,0.0778157,0.04084343,0.0324685,0.0113713,0.01420721,0.0612619,0.03508977,0.02013299,0.02872564,0.00195355,0.00837224,0.0336663,0.08560656,0.054066,-0.05499368,0.0578207,0.03113469,0.02913082,0.00875274,0.05261485,0.05167914,0.02669017,0.04981504
2017-10,-0.06886294,-0.14190582,0.15757576,-0.05738943,-0.04140934,-0.0073303,-0.07222814,-0.05556619,0.00251731,0.02493438,-0.02210946,-0.01642541,-0.08588235,-0.0647362,-0.05370664,-0.03317485,0.01138354,0.02525089,-0.03724631,-0.00439598,-0.01808751,-0.04923638,0.00968254,-0.03883812,-0.01760476,-0.06952491
2017-09,-0.01440344,-0.01448109,0.01089109,0.02714416,-0.00705072,-0.00281024,-0.00636258,0.01072157,-0.00112676,0.00720513,0.01351602,0.00915166,0.01318994,0.02639949,0.03994055,0.04916365,0.02576148,-0.07121836,0.01771394,-0.00034501,0.01100843,0.02358938,0.01599478,0.00613192,0.00986468,-0.00707214
2017-08,0.04693734,0.10841629,-0.11341991,0.05318639,0.0797114,0.01440144,0.05566146,0.00829683,0.01919482,0.0118296,0.0141057,0.02448048,0.05290434,0.01800195,-0.03594421,0.02668065,0.07596595,0.02969697,0.04410295,0.01040456,0.02288059,0.08743169,0.01791095,-0.01138238,0.01971904,0.00928129
2017-07,0.03163134,0.04834511,-0.05274173,0.01350374,0.01388161,0.00074783,0.0261324,-0.0066584,-0.02130791,-0.00878522,0.00263405,0.00426031,0.0123913,-0.00257069,-0.01403509,-0.01674832,0.00112958,0.01694915,0.00411934,0.00261354,0.00354561,0.0033475,-0.00743925,-0.04882995,0.00647165,-0.00651921
2017-06,0.05534335,0.13063731,-0.13256484,0.10047974,0.0668912,0.02076336,0.06656315,0.02494774,0.03853719,0.01968746,0.01836618,0.03633917,0.07231745,0.05886379,0.01678571,0.05332534,0.11374663,-0.15207735,0.07309508,0.02820849,0.03610369,0.1110309,0.04356775,0.04686479,0.03433016,0.01722076
2017-05,-0.04246722,-0.09186927,0.09021986,0.01285275,-0.03371824,0.00940586,-0.04556427,-0.01706713,0.01320257,0.01536605,0.02352244,-0.00019457,-0.04213677,-0.03368527,0.03772523,-0.00473588,-0.02173132,0.00472565,-0.00591879,0.01412343,0.00249431,-0.06128134,-0.0166495,0.01754087,0.00545256,-0.03449894
2017-04,0.03170398,0.04271886,-0.04394427,0.03854015,0.03278846,0.01858379,0.02287074,0.01904047,0.02336957,0.03983826,0.01750503,0.01773073,0.02927766,0.03885017,0.01101824,0.03545201,0.03208857,-0.02508318,0.03672884,0.02525731,0.01781437,0.04573529,0.03674494,0.01479547,0.01455301,0.03383642
