Week,CHIM,COPX,CROP,CUT,DUST,FLM,FTAG,FTRI,FXZ,GDX,GDXJ,GNR,GOEX,GRES,GUNR,HAP,IGE,ITB,IYM,LIT,MOO,MXI,NUGT,PICK,PKB,PSCM,PYZ,REMX,RING,RTM,SBM,SIL,SILJ,SLVP,SLX,SMN,SOIL,URA,UYM,VAW,VEGI,WOOD,XHB,XLB,XME
2019-01,0.02823691,0.02186667,-0.00063512,0.04,-0.00349345,0.014399,0.0,0.01441441,0.03208092,0.00190114,-0.00421804,0.02321129,-0.0058508,0.01945525,0.01998002,0.01983769,0.02718717,0.03932584,0.01854678,0.01945946,0.02493169,0.01464079,0.00289017,0.01979129,0.0152856,0.03731165,0.02351011,0.02277433,0.00673607,0.01832298,-0.00844511,0.0027027,0.01645123,0.00460829,0.02563403,-0.032658,0.01956522,0.01571547,0.03430775,0.02020739,0.0237565,0.04274655,0.02795574,0.01580796,0.03476034
2019-00,-0.01915185,0.01583834,0.03215114,0.03241895,-0.02854633,-0.00152472,-0.00180424,0.02790698,0.02660688,0.00995733,0.03507611,0.02571075,0.04130982,0.01585414,0.02653343,0.02637294,0.04622781,0.04168056,0.01758373,0.01037806,0.018974,0.01638487,0.02459954,0.01853225,0.02733389,0.03422245,0.03082451,0.04646018,0.01726264,0.02039949,-0.02843373,0.03916867,0.0659204,0.04316547,0.05051665,-0.0460263,0.02480271,0.02656384,0.04074703,0.01794779,0.02577915,0.03360756,0.0351418,0.01510934,0.0514198
2018-51,-0.00608931,0.02309859,0.04379562,0.03748384,0.06542461,0.04737926,-0.00783049,0.03056351,0.05440662,-0.02323376,-0.01472557,0.03636833,0.00460829,0.01367659,0.03550933,0.03701299,0.05254902,0.05052632,0.05546368,0.04181185,0.04357459,0.03841253,-0.07244723,0.02894136,0.05451296,0.06916733,0.0529564,0.02043906,-0.01660517,0.05384615,-0.05272727,0.00200723,0.01898734,0.00977995,0.02837718,-0.10267516,0.04122497,0.03022222,0.11187812,0.05561456,0.03935743,0.0307748,0.05316373,0.05812473,0.0361829
2018-50,-0.0198939,-0.04329004,-0.04244817,-0.0276061,-0.02195686,-0.04169381,-0.03209987,-0.02650823,-0.04070113,-0.00292683,0.01153443,-0.03691932,0.00741133,-0.01765398,-0.03405995,-0.03392967,-0.06385243,-0.03259062,-0.02589545,-0.06314663,-0.03058906,-0.01971137,-0.02428658,-0.02615101,-0.05289463,-0.04675903,-0.03335846,-0.09029192,-0.0050537,-0.03438731,0.02483286,-0.00204165,-0.01015228,0.00123001,-0.02960248,0.0507287,-0.03699552,-0.04773869,-0.0496881,-0.02986029,-0.02751242,-0.02474299,-0.03507692,-0.03026052,-0.04908888
2018-49,0.01842105,0.01195003,0.00392029,-0.0091597,-0.00071505,0.00388433,0.00223214,0.0156682,-0.01748352,-0.0004995,0.00036193,0.0,-0.00377358,0.00352665,0.00067568,-0.00484995,-0.0167636,-0.01304206,-0.01596994,-0.01267992,-0.00594833,0.00139836,-0.00773196,0.02268431,-0.01895161,-0.0183727,-0.02238267,-0.0139165,-0.0140755,-0.01688152,0.01625616,0.03095844,0.0078534,0.02994792,-0.00112139,0.03034811,-0.01416122,0.01233553,-0.02985075,-0.01431854,-0.00818452,-0.01579301,-0.01584454,-0.0139833,-0.02364496
2018-48,-0.05325815,-0.06510934,-0.02798742,-0.05274972,-0.11441355,-0.0658,-0.04923459,-0.0356212,-0.06887417,0.03877973,0.03563474,-0.04526749,0.05011136,-0.02693475,-0.03951173,-0.04477612,-0.04836643,-0.04252065,-0.07411444,-0.06715468,-0.05718382,-0.05842881,0.11891117,-0.0553803,-0.06733631,-0.09387755,-0.08161922,-0.08690546,0.04194407,-0.05685973,0.06827731,0.01944685,0.00387097,0.02906209,-0.06750513,0.14889267,-0.04717949,-0.04402516,-0.13901423,-0.07022587,-0.05193447,-0.05100756,-0.05023723,-0.0658541,-0.05949966
2018-47,0.01693811,0.03218884,0.01397011,-0.00753296,0.02066626,0.00180905,0.02696825,-0.00176991,0.01219512,-0.00887265,-0.01489203,0.00541559,-0.00610772,-0.00573394,0.00763106,0.00802616,0.00926539,0.01510859,0.012036,0.02101401,0.01471074,0.00523118,-0.02926116,0.01583211,0.02257941,0.01006124,0.009278,0.03245943,-0.01009421,0.01134346,-0.00618238,-0.00524246,-0.01188904,0.0013587,0.00827991,-0.01921845,0.00418848,0.02295082,0.01375138,0.01259084,0.00905797,-0.0028667,0.01789322,0.01274841,0.01017901
2018-46,-0.02108626,-0.04115226,-0.00098007,-0.01533283,0.0,-0.01087394,-0.03847762,-0.02839931,-0.01401617,-0.00155521,-0.01201311,-0.03896104,-0.00273224,-0.01764927,-0.0357028,-0.02547584,-0.04115756,0.02034227,-0.02254053,-0.03683181,-0.01514154,-0.0309516,-0.010699,-0.04900938,-0.00345622,-0.01875,-0.0179581,-0.04705882,-0.00066667,-0.0172043,0.04305705,-0.02202457,-0.02414231,-0.03346203,-0.05844317,0.04279131,-0.0225641,-0.04041204,-0.03267504,-0.0190779,-0.0248023,-0.01600251,0.01299468,-0.02097642,-0.04955401
2018-45,0.0176586,0.04414894,0.01253298,0.01775595,-0.11693326,0.00898024,-0.01375,0.0017138,0.02274574,0.04159914,0.03633611,0.00934154,0.03489026,0.00638618,0.00706941,0.00058005,0.00742414,0.01077727,0.01532312,0.02385686,-0.00080671,0.01235788,0.12109062,0.01464946,0.0068781,0.00298507,0.01253092,0.01060071,0.04675506,0.01832615,0.0,0.0568487,0.04491413,0.04138852,0.02309237,-0.03063241,-0.011,0.01938611,0.03016241,0.01957819,-0.00705467,0.00829161,0.0,0.01977981,0.02756559
2018-44,-0.01829653,-0.040857,0.02192982,-0.01715955,0.08809448,-0.00624147,0.01077051,-0.00590219,0.00536049,-0.02672148,-0.04051173,-0.01040514,-0.04550265,-0.00995942,-0.00598048,0.00114679,-0.00814792,-0.03445065,0.00881737,-0.00322165,0.01467032,-0.01014983,-0.08829569,-0.02606952,-0.00111982,-0.01068859,0.00113747,0.00291545,-0.04002625,0.0163983,-0.03680664,-0.03026482,-0.05011933,-0.03575832,-0.02827702,-0.01368035,0.01706827,-0.01873536,0.01545486,0.00876607,0.01529705,-0.02948699,-0.01909376,0.01587598,-0.02946768
