Month,BDCL,BDCS,CHIX,EUFN,FAS,FAZ,FINU,FINZ,FXO,IAI,IAK,IAT,IXG,IYF,IYG,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,PFI,PHDG,PSCF,PSP,QABA,RWW,RYF,SEF,SKF,UYG,VFH,VQT,XLF
2018-07,0.07477341,0.03868888,0.0468948,0.05159332,0.09206148,-0.09182736,0.13142523,-0.15266272,0.01909385,0.01052632,0.06492009,0.02443532,0.04785974,0.03579438,0.03536178,0.01473729,0.03997748,0.03270382,0.06008877,-0.00245485,0.02128773,0.06290159,-0.00016521,0.00933761,0.03549439,0.01719457,0.03833049,-0.00275229,0.05313781,0.03327747,-0.03927492,-0.0651751,0.06931677,0.0407735,0.02777095,0.0460076
2018-06,-0.00836502,-0.00107354,-0.08517888,-0.03536822,-0.04011065,0.03483992,-0.09013201,0.09517601,-0.01155327,-0.04328742,-0.03088,-0.04150943,-0.03220882,-0.01399317,-0.02530488,-0.04133085,-0.03188565,-0.00963745,-0.02277639,-0.02939178,-0.03208917,-0.02314815,-0.04075436,-0.03092494,-0.00966011,-0.00595668,-0.01428571,-0.03366762,-0.01334356,-0.0314612,0.01011434,0.02930949,-0.0307655,-0.02870533,-0.01175758,-0.02822131
2018-05,0.08121411,0.03856903,-0.01020987,-0.08141113,0.00268605,-0.01446655,-0.0410125,0.03259452,0.01378405,0.00786673,-0.02466227,-0.00340955,-0.0350825,0.00310773,0.00511945,0.0073793,-0.00829799,0.02882798,-0.00464653,0.02621393,0.0251265,-0.01767016,0.01741416,0.00658271,0.02570694,0.0483101,0.00170358,0.03710645,-0.01494358,-0.01095571,-0.00130265,-0.00967586,-0.00024673,-0.00250885,0.02503572,-0.01003344
2018-04,0.01744186,0.01822323,0.01961916,0.0320483,0.05125628,-0.05976431,0.04469646,-0.07701564,0.02119072,0.0266582,0.03242458,0.02946669,0.01952475,0.019594,0.02368651,0.02262345,0.02728823,0.03064202,0.01101836,0.03960943,0.03330958,0.01328904,0.0410062,0.02841077,-0.01792115,0.03633836,0.02422145,0.03111025,0.03062979,0.02722063,-0.0191164,-0.04537037,0.03679876,0.01835138,-0.01937253,0.01816805
2018-03,0.05794557,0.03861908,0.00113379,-0.0258467,-0.03842081,0.00807899,-0.09019793,0.12981455,0.00729927,0.00343214,0.01999033,-0.0270751,-0.02238697,-0.00755235,-0.02662028,-0.02350739,-0.03916682,0.0446563,0.05904828,-0.0048266,0.00157398,0.03760163,-0.0159601,0.00874891,-0.04787962,0.02243399,-0.01099831,0.0017321,-0.01600949,-0.00602829,0.00697168,0.00290276,-0.02076793,-0.01792426,-0.04575087,-0.02490076
2018-02,-0.0888,-0.04558088,-0.07939803,-0.06252588,-0.12226741,0.08088979,-0.12683838,0.0678733,-0.03835182,-0.01901887,-0.04842105,-0.0271303,-0.04733242,-0.03723621,-0.02953922,-0.03116831,-0.03162727,-0.03595724,-0.03494758,-0.02679979,-0.00858152,-0.04535292,-0.02687389,-0.0391015,0.03567644,-0.03949117,-0.06058222,-0.03372461,-0.02649561,-0.03805543,0.03377453,0.04769475,-0.08130257,-0.03716911,0.04274533,-0.03854025
2018-01,-0.05149885,-0.01917808,0.0988764,0.0782726,0.15983301,-0.14297945,0.20731473,-0.15900621,0.03286231,0.05656697,0.03294816,0.07170984,0.06730205,0.04666324,0.06769615,0.05712438,0.0778066,-0.02700142,0.04860502,0.03868613,0.04328465,0.03993289,0.05585429,0.04997078,0.04896907,0.00537119,0.05602007,0.03113446,0.06147663,0.05550351,-0.04759844,-0.0900858,0.0945333,0.05775432,0.05494159,0.06490649
2017-12,-0.01225115,-0.00924415,0.03369434,0.01706642,0.03495324,-0.04059652,0.04548187,-0.0808656,0.00163988,0.01317089,-0.00552147,0.00271342,0.02087714,0.01256608,0.02173913,0.00064893,0.02105463,0.00047371,-0.00410467,-0.00760043,0.02684077,-0.00854139,-0.00398406,0.00349243,0.0063599,-0.00342661,0.02610966,-0.02375523,0.02068549,0.01131008,-0.0111828,-0.0238764,0.02161243,0.01275964,0.01435253,0.01678478
2017-11,0.02421875,0.01319406,-0.00239378,0.00645161,0.0873494,-0.08528302,0.10324354,-0.10729167,0.03077443,0.07094595,0.02192296,0.03367876,0.01852986,0.029672,0.03515884,0.04269257,0.0301193,0.01739971,0.01453287,0.04292409,0.06231912,0.01532822,0.04470588,0.03079223,0.02533589,0.03262356,-0.01873935,0.04030672,0.03174357,0.03999019,-0.02958333,-0.05838455,0.06034038,0.03348694,0.02527667,0.03281853
2017-10,-0.0676259,-0.02757158,0.03768844,-0.00593878,0.05870841,-0.0606488,0.05608354,-0.08518877,0.0175318,0.00532576,0.02263969,0.01023742,0.01131958,0.016383,0.02289106,0.00635065,0.0169593,-0.02403393,0.01845667,-0.00536739,0.01091193,0.01660454,-0.00017995,0.02733415,0.01204819,0.00605824,0.01028278,-0.00983986,0.02576746,0.01166832,-0.01798855,-0.03343208,0.03228388,0.01689876,0.01172317,0.02011834
