Week,BDCL,BDCS,CHIX,EUFN,FAS,FAZ,FINU,FINZ,FXO,IAI,IAK,IAT,IXG,IYF,IYG,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,PFI,PHDG,PSCF,PSP,QABA,RWW,RYF,SEF,SKF,UYG,VFH,VQT,XLF
2019-08,-0.03802817,-0.02177215,-0.02667392,0.02947598,0.015311,-0.01483051,0.01277419,-0.03010471,0.00032258,0.01237785,0.00278983,0.00487495,0.00682107,0.00412007,0.00782534,0.00110644,0.0040619,-0.0104498,0.00332173,-0.00148148,0.01261195,0.00315159,0.00053069,0.00792925,0.00035945,-0.00544662,0.00174978,-0.00296267,0.00325783,0.00695944,-0.00399467,-0.00730308,0.00686275,0.00435044,-0.00141451,0.00416036
2019-07,0.05939124,0.0333855,0.03518187,-0.0010989,0.00192493,-0.0021097,-0.00390422,0.008,0.00484653,0.00081686,0.00327613,0.00467488,0.00111696,0.00025255,0.00259699,0.00599068,0.0005823,0.00867976,0.00493473,0.00409074,0.00866359,0.0050665,0.00799148,0.00614062,0.00217155,0.0001806,0.00352113,0.00913242,-0.00310945,0.00531273,0.0,0.0,0.00098353,0.00045154,0.00543478,-0.00037965
2019-06,0.02293578,0.01321353,0.00309981,0.02653868,0.06540773,-0.06286837,0.0742149,-0.07748184,0.01885544,0.01740003,0.02248274,0.0201049,0.02411813,0.02250194,0.03002272,0.02734375,0.02744941,0.00599631,0.02264894,0.02054137,0.02121614,0.02178862,0.02442608,0.01594747,0.01776462,0.01220866,0.01623084,0.02361881,0.02660256,0.0291989,-0.02038161,-0.04421262,0.04161315,0.02587142,0.02056181,0.02654176
2019-05,-0.02327327,-0.00630915,-0.0092707,-0.01447661,-0.02909519,0.03006012,-0.05637584,0.05897436,-0.00033179,-0.01838779,-0.00705241,0.00242558,-0.01536223,-0.00992471,-0.01330981,0.00115821,-0.00797766,-0.00552741,0.00842975,0.00038752,-0.00436847,-0.00357491,0.00223131,0.00283554,-0.00591716,0.00299738,-0.00626118,0.00020756,-0.02160202,-0.00819672,0.01179039,0.0221998,-0.02003551,-0.01500996,-0.00399214,-0.01882443
2019-04,0.03203125,0.01610306,0.02658228,-0.01045105,0.03066079,-0.03244275,0.01307459,-0.01856436,0.00908785,0.0013221,0.01914267,-0.01186552,0.00227642,0.01157528,0.00177763,-0.00442272,-0.01248019,0.01262272,0.02240706,-0.01188852,0.0005735,0.02227394,-0.00931619,0.02305943,0.01698754,0.01299198,0.02389706,-0.00376333,0.00749601,0.00475594,-0.01074807,-0.02390244,0.02384696,0.00433101,0.01528441,0.00504071
2019-03,0.02409639,0.01524224,0.04599212,0.02290503,0.04092072,-0.04051565,0.03288174,-0.03377563,0.01438356,0.00613294,0.01171037,0.01318141,0.01808616,0.01126265,0.01132567,0.0159372,0.01303912,0.01668255,0.01052274,0.01293275,0.01200155,0.00567423,0.01082621,0.01550643,0.00453858,0.00676852,0.01394052,0.00784231,0.01565274,0.01393817,-0.01357082,-0.02244508,0.0233119,0.01061836,0.00924968,0.0117325
2019-02,0.03436989,0.01877416,0.03907285,0.02364865,0.13723512,-0.1219917,0.1683909,-0.1544196,0.04096045,0.05930293,0.03553983,0.06188002,0.03891509,0.04435741,0.05349549,0.06096952,0.06447508,0.02429543,0.0328068,0.05357143,0.05721193,0.03589744,0.06042417,0.03704963,0.01955521,0.03325416,0.03231939,0.04769231,0.05165496,0.05200634,-0.04313887,-0.0821062,0.08750357,0.05252033,0.01243813,0.05419723
2019-01,0.02892562,0.01165372,0.0222372,0.01722158,0.04755811,-0.04623824,0.02070222,-0.0174538,0.02133816,0.01353965,0.01878339,0.01300265,0.01613734,0.01558875,0.01020055,0.02,0.01041215,0.01432099,0.0155532,0.01868365,0.01474503,0.01815642,0.0157207,0.01585114,0.00153081,0.02207371,0.02504817,0.01111852,0.0098673,0.01238557,-0.01453958,-0.03133047,0.03086053,0.01008098,0.00358938,0.00868846
2019-00,0.08003766,0.04021289,0.01775956,0.02654867,0.03403493,-0.0428677,0.06412078,-0.08075117,0.02114243,0.02351463,0.01236934,0.04160363,0.02233163,0.01435859,0.03050635,0.04277643,0.0427467,0.03628823,0.0010597,0.04464286,0.01967762,0.01057455,0.04487868,0.00910364,-0.00304878,0.02628285,0.02197802,0.04241436,0.0201985,0.02351965,-0.01931415,-0.03131438,0.02518428,0.0225271,-0.00634551,0.0185654
2018-51,0.0794897,0.03446191,0.00760719,0.03052503,0.16747053,-0.1598063,0.16715914,-0.1562986,0.05306604,0.05251098,0.04906844,0.05045382,0.04206642,0.05494174,0.05966154,0.05371429,0.0539759,0.05661404,0.04888556,0.05097947,0.0544157,0.05087916,0.05226085,0.04391144,0.00494861,0.05188266,0.03497942,0.04402054,0.0561234,0.05540819,-0.0514158,-0.10654545,0.10991678,0.05484395,0.01314069,0.05720721
