,Week,risk_free
102,2017-25,0.0004153846153846154
103,2017-24,0.00041923076923076923
104,2017-23,0.00041923076923076923
105,2017-22,0.00042115384615384617
106,2017-21,0.0004346153846153846
107,2017-20,0.00043653846153846157
108,2017-19,0.00045961538461538465
109,2017-18,0.0004480769230769231
110,2017-17,0.0004442307692307692
111,2017-16,0.00042884615384615384
112,2017-15,0.0004423076923076923
113,2017-14,0.0004519230769230769
114,2017-13,0.00046153846153846153
115,2017-12,0.0004653846153846154
116,2017-11,0.0004903846153846154
117,2017-10,0.0004903846153846154
118,2017-09,0.00046730769230769227
119,2017-08,0.0004576923076923077
120,2017-07,0.00047307692307692307
121,2017-06,0.00045961538461538465
122,2017-05,0.00047692307692307693
123,2017-04,0.00047692307692307693
124,2017-03,0.0004653846153846154
125,2017-02,0.0004576923076923077
126,2017-01,0.0004653846153846154
127,2016-52,0.0004807692307692308
128,2016-51,0.0004903846153846154
129,2016-50,0.0004884615384615384
130,2016-49,0.00046153846153846153
131,2016-48,0.00045576923076923073
132,2016-47,0.00045
133,2016-46,0.0004346153846153846
134,2016-45,0.0003807692307692308
135,2016-44,0.00035
136,2016-43,0.0003480769230769231
137,2016-42,0.00033846153846153846
138,2016-41,0.0003423076923076923
139,2016-40,0.00032692307692307697
140,2016-39,0.0003038461538461539
141,2016-38,0.00031923076923076924
142,2016-37,0.00032692307692307697
143,2016-36,0.00030576923076923077
144,2016-35,0.0003038461538461539
145,2016-34,0.0003019230769230769
146,2016-33,0.0003
147,2016-32,0.00029615384615384616
148,2016-31,0.00029615384615384616
149,2016-30,0.00029423076923076923
150,2016-29,0.0003038461538461539
151,2016-28,0.0002903846153846154
152,2016-27,0.00026538461538461536
153,2016-26,0.0002826923076923077
154,2016-25,0.00032307692307692305
155,2016-24,0.00030961538461538464
156,2016-23,0.00032692307692307697
157,2016-22,0.00034615384615384613
158,2016-21,0.00035576923076923074
159,2016-20,0.00035
160,2016-19,0.0003365384615384616
161,2016-18,0.0003480769230769231
162,2016-17,0.00036153846153846154
163,2016-16,0.00035384615384615386
164,2016-15,0.0003403846153846154
165,2016-14,0.0003346153846153846
166,2016-13,0.00035
167,2016-12,0.0003673076923076923
168,2016-11,0.0003711538461538462
